223.184.16.243,125.252.226.153,4891,35.611001000,15.3714,2 objects with urls like: http://timesofindia.indiatimes.com/niftysensexhome...
223.184.16.243,125.252.226.153,12179,35.612339000,31.9346,5 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
223.184.16.243,125.252.226.153,5589,35.619761000,15.3045,2 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
223.184.16.243,125.252.226.153,1940,35.676169000,13.6539,1 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
223.184.16.243,223.165.31.12,416,35.747201000,8.7254,0 objects
223.184.16.243,223.165.31.12,416,35.747326000,8.6643,0 objects
223.184.16.243,223.165.31.15,540,36.295980000,11.8905,0 objects
223.184.16.243,223.165.31.15,540,36.296150000,11.8662,0 objects
223.184.16.243,223.165.31.12,3028,36.315583000,14.7370,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getad?...
223.184.16.243,223.165.31.12,416,36.315786000,8.2145,0 objects
223.184.16.243,223.165.31.12,416,36.315906000,8.8269,0 objects
223.184.16.243,223.165.31.12,416,36.316015000,8.7765,0 objects
223.184.16.243,223.165.25.20,4089,38.426816000,18.4595,3 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/getad?...
223.184.16.243,223.165.25.20,416,38.426955000,5.9633,0 objects
223.184.16.243,125.252.226.152,764,38.454210000,12.1808,0 objects
223.184.16.243,223.165.25.205,2761,38.492922000,10.8370,1 objects with urls like: http://geodataservice205.indiatimes.com/getGeo.asp...
223.184.16.243,184.31.212.211,1024,38.534411000,10.5179,0 objects
223.184.16.243,125.252.226.153,10308,39.391470000,28.1555,3 objects with urls like: http://timesofindia.indiatimes.com/shopadcode.cms	...
223.184.16.243,125.252.226.153,568,39.392314000,11.6920,0 objects
223.184.16.243,125.252.226.153,812,39.393390000,13.1931,0 objects
223.184.16.243,223.165.25.20,652,39.451964000,11.6284,0 objects
223.184.16.243,125.252.226.153,812,39.594225000,12.9081,0 objects
223.184.16.243,125.252.226.153,656,39.596351000,12.9302,0 objects
223.184.16.243,125.252.226.153,656,39.598496000,12.8840,0 objects
223.184.16.243,74.125.236.25,2730,44.115322000,18.1915,1 objects with urls like: http://pubads.g.doubleclick.net/gampad/ads?gdfp_re...
223.184.16.243,125.252.226.154,2972,47.135876000,7.7866,1 objects with urls like: http://static.rewards.indiatimes.com/fns/daily/dai...
223.184.16.243,125.252.226.154,656,47.348946000,7.5535,0 objects
223.184.16.243,125.252.226.154,656,48.055754000,10.2287,0 objects
223.184.16.243,125.252.226.154,424,48.280967000,9.9818,0 objects
223.184.16.243,125.252.226.155,424,49.534453000,5.4881,0 objects
223.184.16.243,125.252.226.155,424,49.534627000,5.4697,0 objects
223.184.16.243,223.165.25.20,416,49.574485000,5.4599,0 objects
223.184.16.243,98.124.156.54,4834,49.704592000,12.8381,2 objects with urls like: http://www9.effectivemeasure.net/v4/em_js?flag=0&v...
223.184.16.243,74.125.236.185,28441,50.785017000,11.6597,2 objects with urls like: http://pagead2.googlesyndication.com/pagead/show_a...
223.184.16.243,74.125.236.186,736,51.451760000,7.7730,0 objects
223.184.16.243,98.124.156.54,424,52.286843000,9.8135,0 objects
223.184.16.243,125.252.226.152,424,52.324588000,2.5598,0 objects
223.184.16.243,125.252.226.152,424,52.324798000,9.4598,0 objects
223.184.16.243,173.194.36.90,736,53.284281000,8.5583,0 objects
223.184.16.243,125.252.226.153,3673,54.734506000,7.4420,1 objects with urls like: http://mytimes.indiatimes.com/image/thumb/1/540796...
223.184.16.243,125.252.226.153,492,54.734637000,7.3900,0 objects
223.184.16.243,125.252.226.153,424,54.734736000,7.3508,0 objects
223.184.16.243,125.252.226.153,424,54.734828000,7.3295,0 objects
223.184.16.243,125.252.226.153,424,54.734930000,7.5895,0 objects
223.184.16.243,223.165.30.17,648,55.585417000,6.4657,0 objects
223.184.16.243,223.165.25.20,2670,56.079676000,5.9569,1 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/getad?...
223.184.16.243,223.165.25.20,416,56.299142000,5.7135,0 objects
223.184.16.243,125.252.226.154,424,56.727075000,5.1755,0 objects
223.184.16.243,125.252.226.154,424,56.727214000,5.1573,0 objects
223.184.16.243,125.252.226.154,424,56.727325000,5.6575,0 objects
223.184.16.243,125.252.226.154,424,56.727439000,5.5111,0 objects
223.184.16.243,125.252.226.154,424,56.727566000,5.4757,0 objects
223.184.16.243,125.252.226.153,5105,58.857390000,8.7317,1 objects with urls like: http://timesofindia.indiatimes.com/thumb/19493983....
223.184.16.243,125.252.226.153,4857,58.859264000,8.7675,1 objects with urls like: http://timesofindia.indiatimes.com/thumb/19494661....
223.184.16.243,125.252.226.153,5077,58.860983000,8.7855,1 objects with urls like: http://timesofindia.indiatimes.com/thumb/19498133....
223.184.16.243,125.252.226.153,4200,58.862461000,8.8079,1 objects with urls like: http://timesofindia.indiatimes.com/thumb/9358854.c...
223.184.16.243,125.252.226.153,7976,58.863881000,68.0216,2 objects with urls like: http://timesofindia.indiatimes.com/thumb/19494339....
223.184.16.243,125.252.226.153,4234,58.865629000,69.0782,1 objects with urls like: http://timesofindia.indiatimes.com/thumb/15076388....
223.184.16.243,125.252.226.153,18854,58.867340000,67.3572,2 objects with urls like: http://timesofindia.indiatimes.com/thumb/19498064....
223.184.16.243,125.252.226.153,7335,58.870089000,67.6338,4 objects with urls like: http://timesofindia.indiatimes.com/thumb/19496171....
223.184.16.243,125.252.226.153,424,58.872502000,8.4923,0 objects
223.184.16.243,125.252.226.153,424,58.874399000,8.4903,0 objects
223.184.16.243,125.252.226.153,424,58.876706000,8.4882,0 objects
223.184.16.243,125.252.226.153,424,58.878839000,8.4862,0 objects
223.184.16.243,125.252.226.153,424,58.881503000,8.4835,0 objects
223.184.16.243,125.252.226.153,424,59.050596000,8.3181,0 objects
223.184.16.243,125.252.226.153,580,59.054692000,8.3139,0 objects
223.184.16.243,125.252.226.153,424,59.061090000,8.3259,0 objects
223.184.16.243,125.252.226.153,424,59.066269000,8.3206,0 objects
223.184.16.243,125.252.226.153,424,59.071413000,8.3376,0 objects
223.184.16.243,125.252.226.153,424,59.076833000,8.3321,0 objects
223.184.16.243,125.252.226.153,580,59.079937000,8.3473,0 objects
223.184.16.243,125.252.226.153,580,59.085067000,8.3420,0 objects
223.184.16.243,125.252.226.153,424,59.088284000,8.3390,0 objects
223.184.16.243,125.252.226.153,424,59.091588000,8.3627,0 objects
223.184.16.243,125.252.226.153,424,59.094818000,8.3718,0 objects
223.184.16.243,125.252.226.153,424,59.102910000,8.4317,0 objects
223.184.16.243,125.252.226.153,424,59.112370000,8.4345,0 objects
223.184.16.243,96.17.182.25,2492,61.134364000,38.1694,2 objects with urls like: http://static.gaana.com/images/albums/96/93296/cro...
223.184.16.243,96.17.182.25,1574,61.483198000,38.1406,1 objects with urls like: http://static.gaana.com/images/albums/35/72235/cro...
223.184.16.243,96.17.182.25,1574,61.523392000,38.0205,1 objects with urls like: http://static.gaana.com/images/albums/76/57576/cro...
223.184.16.243,96.17.182.25,656,61.563540000,11.9522,0 objects
223.184.16.243,96.17.182.25,656,61.603346000,11.9123,0 objects
223.184.16.243,173.194.36.121,3880,65.982112000,66.2817,2 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
223.184.16.243,74.125.236.185,9955,66.643222000,40.0205,1 objects with urls like: http://pagead2.googlesyndication.com/pagead/osd.js...
223.184.16.243,173.194.36.90,736,66.838728000,6.6839,0 objects
223.184.16.243,223.165.30.17,580,67.609147000,7.6994,0 objects
223.184.16.243,173.194.36.90,2063,67.631427000,51.8323,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
223.184.16.243,96.17.182.10,424,67.654653000,7.5498,0 objects
223.184.16.243,96.17.182.10,424,67.654908000,7.5276,0 objects
223.184.16.243,96.17.182.10,580,67.655082000,7.5076,0 objects
223.184.16.243,96.17.182.10,424,67.655222000,7.4674,0 objects
223.184.16.243,96.17.182.10,424,67.655350000,7.4493,0 objects
223.184.16.243,98.124.156.54,2392,69.615309000,55.3749,1 objects with urls like: http://www9.effectivemeasure.net/v4/em_dimg?flag=2...
223.184.16.243,98.124.156.54,1911,69.622447000,55.5514,1 objects with urls like: http://www9.effectivemeasure.net/v4/em_ck_img?hl=1...
