223.184.16.243,125.252.226.153,192465,24.068241000,
223.184.16.243,122.160.120.56,17055,0.000000000,
223.184.16.243,223.165.31.12,16956,30.665563000,
223.184.16.243,125.252.226.154,7744,29.436820000,
223.184.16.243,98.124.156.54,12631,49.704592000,
223.184.16.243,74.125.236.185,38396,50.785017000,
223.184.16.243,202.56.230.7,9299,30.475767000,
223.184.16.243,74.125.236.25,8775,31.626509000,
223.184.16.243,125.252.226.152,5346,31.775235000,
223.184.16.243,96.17.182.25,6952,61.134364000,
223.184.16.243,54.235.79.95,6040,33.635300000,
223.184.16.243,223.165.25.20,8659,38.426816000,
223.184.16.243,125.252.226.155,3904,30.715583000,
223.184.16.243,96.17.182.10,2276,67.654653000,
223.184.16.243,173.194.36.91,4369,34.760591000,
223.184.16.243,223.165.31.15,2651,30.625346000,
223.184.16.243,173.194.36.90,3535,53.284281000,
223.184.16.243,74.125.236.2,2960,25.816114000,
223.184.16.243,74.125.236.15,4935,25.191696000,
223.184.16.243,184.31.212.211,1604,31.635826000,
223.184.16.243,96.17.182.41,2469,29.256784000,
223.184.16.243,173.194.36.79,4724,27.284025000,
223.184.16.243,173.194.36.70,1472,27.575684000,
223.184.16.243,223.165.25.205,2761,38.492922000,
223.184.16.243,223.165.30.17,1228,55.585417000,
223.184.16.243,118.215.159.139,1216,76.048275000,
223.184.16.243,173.194.36.121,3880,65.982112000,
223.184.16.243,74.125.135.95,1008,30.750760000,
223.184.16.243,96.17.182.58,2421,27.418934000,
223.184.16.243,23.23.212.172,1571,3.364112000,
223.184.16.243,74.125.128.188,4853,82.325987000,
223.184.16.243,31.13.79.1,1064,76.073286000,
223.184.16.243,173.194.36.122,1493,27.389030000,
223.184.16.243,184.73.197.27,2330,1.397118000,
223.184.16.243,74.125.236.186,736,51.451760000,
223.184.16.243,23.35.36.211,1242,25.225068000,
223.184.16.243,107.20.164.39,1571,0.001779000,
223.184.16.243,96.17.182.9,608,75.974770000,
223.184.16.243,23.35.34.127,608,75.905311000,
223.184.16.243,173.194.36.77,580,29.229229000,
