495  31.004521 223.184.16.243 -> 122.160.120.56 DNS 81 Standard query 0x6939  A ajax.googleapis.com
521  31.524070 122.160.120.56 -> 223.184.16.243 DNS 209 Standard query response 0xb0a8  CNAME static.rewards.indiatimes.com.edgesuite.net CNAME a1095.g.akamai.net A 125.252.226.154 A 125.252.226.153
528  31.623967 122.160.120.56 -> 223.184.16.243 DNS 179 Standard query response 0xd307  CNAME partnerad.l.doubleclick.net A 74.125.236.25 A 74.125.236.26 A 74.125.236.13
531  31.633988 202.56.230.7 -> 223.184.16.243 DNS 445 Standard query response 0x1360  CNAME cdn.optimizely.com.edgekey.net CNAME e6640.g.akamaiedge.net A 184.31.212.211
558  31.773599 122.160.120.56 -> 223.184.16.243 DNS 195 Standard query response 0xfd3e  CNAME www.indiatimes.com.edgesuite.net CNAME a1934.g.akamai.net A 125.252.226.152 A 125.252.226.155
560  31.796357 122.160.120.56 -> 223.184.16.243 DNS 131 Standard query response 0x6939  CNAME googleapis.l.google.com A 74.125.135.95
566  31.879354 223.184.16.243 -> 122.160.120.56 DNS 90 Standard query 0x5f0b  A partner.googleadservices.com
596  32.533978 122.160.120.56 -> 223.184.16.243 DNS 179 Standard query response 0x5f0b  CNAME partnerad.l.doubleclick.net A 74.125.236.25 A 74.125.236.26 A 74.125.236.13
622  33.431148 223.184.16.243 -> 122.160.120.56 DNS 81 Standard query 0xa88e  A cdn3.optimizely.com
623  33.435948 223.184.16.243 -> 122.160.120.56 DNS 89 Standard query 0x9d62  A 83181943.log.optimizely.com
624  33.438556 223.184.16.243 -> 122.160.120.56 DNS 86 Standard query 0x97b5  A pubads.g.doubleclick.net
625  33.633860 122.160.120.56 -> 223.184.16.243 DNS 160 Standard query response 0x97b5  CNAME partnerad.l.doubleclick.net A 74.125.236.25 A 74.125.236.26 A 74.125.236.13
626  33.634001 122.160.120.56 -> 223.184.16.243 DNS 279 Standard query response 0x9d62  CNAME dualstack.log-334788911.us-east-1.elb.amazonaws.com A 54.235.79.95 A 54.243.254.45 A 107.22.230.82 A 23.21.226.13 A 23.23.172.8 A 50.17.220.165 A 50.19.254.195 A 54.235.64.176
648  33.879054 223.184.16.243 -> 122.160.120.56 DNS 89 Standard query 0x5fa6  A 83181943.log.optimizely.com
683  34.404709 122.160.120.56 -> 223.184.16.243 DNS 279 Standard query response 0x5fa6  CNAME dualstack.log-334788911.us-east-1.elb.amazonaws.com A 54.235.79.95 A 54.243.254.45 A 107.22.230.82 A 184.73.178.248 A 23.23.172.8 A 50.17.220.165 A 50.19.81.128 A 54.235.64.176
689  34.416989 223.184.16.243 -> 122.160.120.56 DNS 80 Standard query 0x692b  A ad.doubleclick.net
704  34.758646 122.160.120.56 -> 223.184.16.243 DNS 133 Standard query response 0x692b  CNAME dart.l.doubleclick.net A 173.194.36.91 A 173.194.36.92
772  35.889574 223.184.16.243 -> 202.56.230.7 DNS 80 Standard query 0x5af2  A ads.indiatimes.com
776  35.919040 223.184.16.243 -> 202.56.230.7 DNS 90 Standard query 0xc6b4  A netspiderads3.indiatimes.com
799  36.293885 202.56.230.7 -> 223.184.16.243 DNS 531 Standard query response 0x5af2  A 223.165.31.15
802  36.313558 202.56.230.7 -> 223.184.16.243 DNS 541 Standard query response 0xc6b4  A 223.165.31.12
