223.188.60.32,96.17.181.18,485390,0.143744000,
223.188.60.32,96.17.181.11,244326,3.068496000,
223.188.60.32,74.125.236.25,202547,1.743863000,
223.188.60.32,96.17.181.27,138924,1.080830000,
223.188.60.32,96.17.181.16,98386,3.511102000,
223.188.60.32,23.35.1.224,61632,24.320073000,
223.188.60.32,2.18.147.206,46155,25.246893000,
223.188.60.32,118.215.7.139,66071,24.320323000,
223.188.60.32,23.11.235.11,21017,10.531199000,
223.188.60.32,223.165.25.20,15116,4.331865000,
223.188.60.32,74.125.236.26,28093,1.301738000,
223.188.60.32,122.160.120.56,8079,0.000000000,
223.188.60.32,223.165.31.12,13364,0.911470000,
223.188.60.32,31.13.79.27,13183,24.372060000,
223.188.60.32,202.79.210.121,13403,2.919898000,
223.188.60.32,74.125.236.129,19526,1.373522000,
223.188.60.32,199.59.148.16,7738,25.511963000,
223.188.60.32,122.252.58.110,14931,26.221056000,
223.188.60.32,96.17.181.32,6894,1.080481000,
223.188.60.32,125.252.226.153,7730,24.214866000,
223.188.60.32,96.17.181.35,12263,26.221400000,
223.188.60.32,74.125.236.15,5423,2.290487000,
223.188.60.32,74.125.236.28,4675,3.033710000,
223.188.60.32,96.17.181.26,9456,25.000297000,
223.188.60.32,98.124.156.54,3035,16.409732000,
223.188.60.32,74.125.236.13,7754,2.169545000,
223.188.60.32,184.73.248.106,2112,29.466657000,
223.188.60.32,96.17.181.17,3899,1.372396000,
223.188.60.32,223.165.31.15,1867,0.905639000,
223.188.60.32,96.17.181.33,4956,28.033247000,
223.188.60.32,125.252.226.155,3017,2.780450000,
223.188.60.32,223.165.31.19,1933,0.911946000,
223.188.60.32,192.150.16.64,1888,10.240544000,
223.188.60.32,74.125.128.188,1509,2.055828000,
223.188.60.32,74.125.236.24,408,23.622859000,
223.188.60.32,202.56.230.7,860,10.160683000,
