
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.dst==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
117.000-117.500       0         0 
117.500-118.000       0         0 
118.000-118.500       0         0 
118.500-119.000       1       315 
119.000-119.500       0         0 
119.500-120.000       0         0 
120.000-120.500       0         0 
120.500-121.000       0         0 
121.000-121.500       1        76 
121.500-122.000      10       740 
122.000-122.500       2       152 
122.500-123.000       1        68 
123.000-123.500       0         0 
123.500-124.000       0         0 
124.000-124.500       1      1436 
124.500-125.000       1       482 
125.000-125.500       7       532 
125.500-126.000       2       152 
126.000-126.500       3       220 
126.500-127.000       0         0 
127.000-127.500       1        76 
127.500-128.000       1      1436 
128.000-128.500       2       391 
128.500-129.000       0         0 
129.000-129.500       0         0 
129.500-130.000       0         0 
130.000-130.500       0         0 
130.500-131.000       3      2285 
131.000-131.500       5       380 
131.500-132.000      18      8675 
132.000-132.500       6       376 
132.500-133.000       5       450 
133.000-133.500       4       264 
133.500-134.000       3       200 
134.000-134.500       6      3656 
134.500-135.000      22      6220 
135.000-135.500      43     16542 
135.500-136.000      19      6852 
136.000-136.500      36     11612 
136.500-137.000      64     17848 
137.000-137.500      39     16666 
137.500-138.000      43     31335 
138.000-138.500      11      4778 
138.500-139.000      19     17105 
139.000-139.500       6      6155 
139.500-140.000       0         0 
140.000-140.500       0         0 
140.500-141.000      14       952 
141.000-141.500       2       163 
141.500-142.000       0         0 
142.000-142.500       0         0 
142.500-143.000       1        68 
143.000-143.500       0         0 
143.500-144.000       0         0 
144.000-144.500       0         0 
144.500-145.000       0         0 
145.000-145.500       0         0 
145.500-146.000       0         0 
146.000-146.500       0         0 
146.500-147.000       0         0 
147.000-147.500       0         0 
147.500-148.000       2      2872 
148.000-148.500       1       763 
148.500-149.000       0         0 
149.000-149.500       0         0 
149.500-150.000       0         0 
150.000-150.500       1        68 
150.500-151.000       0         0 
151.000-151.500       0         0 
151.500-152.000       0         0 
152.000-152.500       2       160 
152.500-153.000       0         0 
153.000-153.500       2       573 
153.500-154.000       2       573 
154.000-154.500       3       240 
154.500-155.000      16      5032 
155.000-155.500       1      1436 
155.500-156.000       7      4425 
156.000-156.500       9      2911 
156.500-157.000       7      1443 
157.000-157.500      10      2865 
157.500-158.000       2       173 
158.000-158.500       0         0 
158.500-159.000       0         0 
159.000-159.500       1        68 
159.500-160.000       0         0 
160.000-160.500       0         0 
160.500-161.000       0         0 
161.000-161.500       1        68 
161.500-162.000       1       206 
162.000-162.500       1        68 
162.500-163.000       0         0 
163.000-163.500       1        80 
163.500-164.000       0         0 
164.000-164.500       2       163 
164.500-165.000       0         0 
165.000-165.500       0         0 
165.500-166.000       3       892 
166.000-166.500       1        68 
166.500-167.000       5       404 
===================================================================
