
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: ip.src==223.188.60.32
                |   Column #0    
Time            |frames|  bytes  
118.000-118.500       0         0 
118.500-119.000       2       609 
119.000-119.500       0         0 
119.500-120.000       0         0 
120.000-120.500       2       170 
120.500-121.000       1      1016 
121.000-121.500       1        80 
121.500-122.000      26      1788 
122.000-122.500       2       112 
122.500-123.000       1        68 
123.000-123.500       0         0 
123.500-124.000       0         0 
124.000-124.500       1        80 
124.500-125.000       1        56 
125.000-125.500      11      2183 
125.500-126.000       3       180 
126.000-126.500       3       180 
126.500-127.000       0         0 
127.000-127.500       1        80 
127.500-128.000       1        80 
128.000-128.500       2       160 
128.500-129.000       0         0 
129.000-129.500       0         0 
129.500-130.000       1      1122 
130.000-130.500       2       170 
130.500-131.000       3      1227 
131.000-131.500       5       280 
131.500-132.000       9       600 
132.000-132.500       2       112 
132.500-133.000       3       180 
133.000-133.500       2       112 
133.500-134.000      18      1328 
134.000-134.500       5      1362 
134.500-135.000      19      1466 
135.000-135.500      43      3460 
135.500-136.000      17      1024 
136.000-136.500      31      3822 
136.500-137.000      61     10640 
137.000-137.500      34      3432 
137.500-138.000      33      2244 
138.000-138.500      14      1791 
138.500-139.000      20      2574 
139.000-139.500       5       340 
139.500-140.000       1        68 
140.000-140.500       0         0 
140.500-141.000      27      1836 
141.000-141.500       3       180 
141.500-142.000       0         0 
142.000-142.500       0         0 
142.500-143.000       2       136 
143.000-143.500       0         0 
143.500-144.000       0         0 
144.000-144.500       0         0 
144.500-145.000       0         0 
145.000-145.500       0         0 
145.500-146.000       0         0 
146.000-146.500       0         0 
146.500-147.000       0         0 
147.000-147.500       0         0 
147.500-148.000       3      1258 
148.000-148.500       1        68 
148.500-149.000       0         0 
149.000-149.500       0         0 
149.500-150.000       0         0 
150.000-150.500       2       136 
150.500-151.000       0         0 
151.000-151.500       0         0 
151.500-152.000       4       272 
152.000-152.500       1        68 
152.500-153.000       2       137 
153.000-153.500       7       476 
153.500-154.000       3       201 
154.000-154.500       0         0 
154.500-155.000      15      2742 
155.000-155.500       2       148 
155.500-156.000       7       712 
156.000-156.500       7      2321 
156.500-157.000       5       340 
157.000-157.500      11       665 
157.500-158.000       1        68 
158.000-158.500       0         0 
158.500-159.000       1        68 
159.000-159.500       1        68 
159.500-160.000       0         0 
160.000-160.500       0         0 
160.500-161.000       0         0 
161.000-161.500       1        68 
161.500-162.000       2       136 
162.000-162.500       0         0 
162.500-163.000       0         0 
163.000-163.500       1        68 
163.500-164.000       0         0 
164.000-164.500       2       136 
164.500-165.000       0         0 
165.000-165.500       1        80 
165.500-166.000       5      1047 
166.000-166.500       2       136 
166.500-167.000       4       236 
===================================================================
