
===================================================================
IO Statistics
Interval: 0.500 secs
Column #0: 
                |   Column #0    
Time            |frames|  bytes  
116.500-117.000       1      1122 
117.000-117.500       0         0 
117.500-118.000       0         0 
118.000-118.500       0         0 
118.500-119.000       3       924 
119.000-119.500       0         0 
119.500-120.000       0         0 
120.000-120.500       2       170 
120.500-121.000       1      1016 
121.000-121.500       2       156 
121.500-122.000      36      2528 
122.000-122.500       4       264 
122.500-123.000       2       136 
123.000-123.500       0         0 
123.500-124.000       0         0 
124.000-124.500       2      1516 
124.500-125.000       2       538 
125.000-125.500      18      2715 
125.500-126.000       5       332 
126.000-126.500       6       400 
126.500-127.000       0         0 
127.000-127.500       2       156 
127.500-128.000       2      1516 
128.000-128.500       4       551 
128.500-129.000       0         0 
129.000-129.500       0         0 
129.500-130.000       1      1122 
130.000-130.500       2       170 
130.500-131.000       6      3512 
131.000-131.500      10       660 
131.500-132.000      27      9275 
132.000-132.500       8       488 
132.500-133.000       8       630 
133.000-133.500       6       376 
133.500-134.000      21      1528 
134.000-134.500      11      5018 
134.500-135.000      39      7244 
135.000-135.500      84     19016 
135.500-136.000      36      7876 
136.000-136.500      63     14006 
136.500-137.000     121     27060 
137.000-137.500      69     18670 
137.500-138.000      76     33579 
138.000-138.500      25      6569 
138.500-139.000      39     19679 
139.000-139.500      11      6495 
139.500-140.000       1        68 
140.000-140.500       0         0 
140.500-141.000      41      2788 
141.000-141.500       5       343 
141.500-142.000       0         0 
142.000-142.500       0         0 
142.500-143.000       3       204 
143.000-143.500       0         0 
143.500-144.000       0         0 
144.000-144.500       0         0 
144.500-145.000       0         0 
145.000-145.500       0         0 
145.500-146.000       0         0 
146.000-146.500       0         0 
146.500-147.000       0         0 
147.000-147.500       0         0 
147.500-148.000       5      4130 
148.000-148.500       2       831 
148.500-149.000       0         0 
149.000-149.500       0         0 
149.500-150.000       0         0 
150.000-150.500       3       204 
150.500-151.000       0         0 
151.000-151.500       0         0 
151.500-152.000       4       272 
152.000-152.500       3       228 
152.500-153.000       2       137 
153.000-153.500       9      1049 
153.500-154.000       5       774 
154.000-154.500       3       240 
154.500-155.000      31      7774 
155.000-155.500       3      1584 
155.500-156.000      14      5137 
156.000-156.500      16      5232 
156.500-157.000      12      1783 
157.000-157.500      21      3530 
157.500-158.000       3       241 
158.000-158.500       0         0 
158.500-159.000       1        68 
159.000-159.500       2       136 
159.500-160.000       0         0 
160.000-160.500       0         0 
160.500-161.000       0         0 
161.000-161.500       2       136 
161.500-162.000       3       342 
162.000-162.500       1        68 
162.500-163.000       0         0 
163.000-163.500       2       148 
163.500-164.000       0         0 
164.000-164.500       4       299 
164.500-165.000       0         0 
165.000-165.500       1        80 
165.500-166.000       8      1939 
166.000-166.500       3       204 
166.500-167.000       9       640 
===================================================================
