96.17.182.25,27.60.1.124,490602,8.850501000,
173.194.36.115,27.60.1.124,57806,0.000000000,
122.160.120.56,27.60.1.124,20385,11.522801000,
173.194.38.153,27.60.1.124,108595,53.782364000,
27.60.1.124,23.35.65.224,61758,61.465605000,
92.123.115.206,27.60.1.124,46454,20.956011000,
27.60.1.124,23.35.68.211,53835,43.635818000,
118.215.159.139,27.60.1.124,65709,61.374442000,
173.194.38.185,27.60.1.124,48310,44.553698000,
65.54.82.179,27.60.1.124,39105,61.428311000,
31.13.79.1,27.60.1.124,16091,61.375976000,
74.125.135.95,27.60.1.124,37286,43.925227000,
96.17.182.18,27.60.1.124,33801,46.779070000,
98.124.156.54,27.60.1.124,10840,55.027091000,
173.194.36.109,27.60.1.124,32227,44.262154000,
202.56.230.7,27.60.1.124,12850,16.526712000,
125.252.226.154,27.60.1.124,20778,44.148038000,
122.252.138.110,27.60.1.124,22021,62.334083000,
223.165.31.12,27.60.1.124,11228,32.856460000,
96.17.182.17,27.60.1.124,24046,62.333525000,
173.194.36.68,27.60.1.124,20186,44.094123000,
96.17.182.16,27.60.1.124,11274,43.812814000,
223.165.25.20,27.60.1.124,6144,33.856032000,
96.17.182.19,27.60.1.124,4444,8.850544000,
173.194.36.111,27.60.1.124,5905,43.703901000,
223.165.26.45,27.60.1.124,3617,61.433212000,
96.17.182.9,27.60.1.124,5845,61.099720000,
50.22.231.42,27.60.1.124,1858,77.055099000,
173.194.36.121,27.60.1.124,5206,45.722094000,
173.194.38.141,27.60.1.124,5188,60.509816000,
173.194.36.92,27.60.1.124,3361,46.133995000,
54.243.68.178,27.60.1.124,1934,61.424161000,
54.243.125.28,27.60.1.124,2182,45.774208000,
223.165.31.15,27.60.1.124,1571,43.916996000,
69.171.224.42,27.60.1.124,3654,63.064290000,
50.16.209.140,27.60.1.124,984,61.660256000,
27.60.1.124,23.35.34.127,4996,8.850047000,
96.17.182.11,27.60.1.124,5449,61.425776000,
96.17.182.32,27.60.1.124,2624,61.132290000,
74.125.236.15,27.60.1.124,3381,43.640880000,
54.243.47.172,27.60.1.124,1382,94.209038000,
54.235.64.176,27.60.1.124,1945,45.609353000,
96.17.182.27,27.60.1.124,648,54.876386000,
54.243.154.34,27.60.1.124,492,94.453215000,
50.19.254.195,27.60.1.124,492,45.847770000,
54.251.44.204,27.60.1.124,711,17.365282000,
125.252.226.155,27.60.1.124,424,49.528798000,
223.165.25.205,27.60.1.124,1533,47.751508000,
173.194.36.90,27.60.1.124,424,44.887154000,
27.60.1.124,23.35.33.224,608,20.956304000,
50.22.231.58,27.60.1.124,272,64.970079000,
