125.252.226.152,27.60.1.124,269676,13.820505000,
122.160.120.56,27.60.1.124,23124,14.384130000,
173.194.36.89,27.60.1.124,110489,20.830176000,
96.17.182.66,27.60.1.124,70033,17.449791000,
173.194.36.77,27.60.1.124,46726,15.809051000,
98.124.156.54,27.60.1.124,13824,28.522764000,
96.17.182.73,27.60.1.124,20805,16.380928000,
118.215.159.139,27.60.1.124,65862,30.323971000,
27.60.1.124,23.35.33.224,59339,30.323533000,
223.165.31.12,27.60.1.124,13810,20.869819000,
92.123.115.206,27.60.1.124,45538,32.149948000,
65.54.82.157,27.60.1.124,48622,30.328330000,
96.17.182.65,27.60.1.124,27249,30.283952000,
31.13.79.17,27.60.1.124,13285,28.103088000,
173.194.36.79,27.60.1.124,9474,15.068535000,
96.17.182.25,27.60.1.124,2612,68.522351000,
202.56.230.7,27.60.1.124,9209,19.590421000,
223.165.25.20,27.60.1.124,6433,20.842672000,
27.60.1.124,23.35.36.211,2802,14.907727000,
122.252.138.110,27.60.1.124,16757,31.211821000,
199.7.57.72,27.60.1.124,4401,32.649916000,
223.165.26.45,27.60.1.124,4229,30.372575000,
204.236.234.74,27.60.1.124,3268,31.150006000,
54.235.64.176,27.60.1.124,4139,18.268497000,
27.60.1.124,23.21.95.104,1696,18.575916000,
96.17.182.19,27.60.1.124,5498,30.283247000,
96.17.182.48,27.60.1.124,7540,28.218655000,
96.17.182.58,27.60.1.124,3586,19.671247000,
173.194.36.78,27.60.1.124,2559,15.730922000,
50.22.231.37,27.60.1.124,1858,0.000000000,
173.194.36.121,27.60.1.124,5376,22.173934000,
74.125.135.138,27.60.1.124,1104,21.969878000,
125.252.226.153,27.60.1.124,5382,36.252315000,
27.60.1.124,23.35.34.127,5216,30.209803000,
223.165.31.15,27.60.1.124,1571,17.449124000,
27.60.1.124,23.35.65.224,1891,37.722521000,
223.165.25.205,27.60.1.124,1948,20.179321000,
173.194.36.92,27.60.1.124,2937,18.432690000,
54.243.47.172,27.60.1.124,712,32.023233000,
96.17.182.40,27.60.1.124,3320,30.196400000,
74.125.135.95,27.60.1.124,424,17.450182000,
173.194.36.90,27.60.1.124,424,17.563205000,
173.194.36.109,27.60.1.124,424,17.449960000,
69.171.224.42,27.60.1.124,299,31.537279000,
173.252.73.52,27.60.1.124,299,31.517283000,
60.173.9.138,27.60.1.124,112,7.988155000,
