223.188.204.169,74.125.236.184,2591,0.159660000,0.7111,2 objects with url like http://www.google.co.in/m/gne/suggest/v2?q=f&hl=en...
223.188.204.169,74.125.236.211,4518,0.175488000,0.8548,No objects fetched
223.188.204.169,31.13.79.4,2046,12.073390000,3.6513,1 objects with url like http://www.facebook.com/...
223.188.204.169,31.13.79.8,93821,13.594919000,8.8393,3 objects with url like http://m.facebook.com/?_rdr...
223.188.204.169,31.13.79.8,5257,16.027429000,6.4071,2 objects with url like http://m.facebook.com/a/channel/reconnect.php?__aj...
223.188.204.169,184.50.106.239,15750,16.032656000,6.4721,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,121714,16.034274000,6.4711,3 objects with url like http://m.ak.fbcdn.net/photos-g.ak/hphotos-ak-prn1/...
223.188.204.169,184.50.106.239,8107,16.036098000,6.4403,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,43934,16.037697000,6.4673,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,24833,16.237750000,6.2674,1 objects with url like http://m.ak.fbcdn.net/photos-d.ak/hphotos-ak-prn1/...
223.188.204.169,69.171.237.36,2348,16.929453000,3.6173,1 objects with url like http://check6.facebook.com/ajax/v6.php?v=check6&pi...
223.188.204.169,69.171.237.36,2350,16.929716000,3.6169,1 objects with url like http://check4.facebook.com/ajax/v6.php?v=check4&pi...
223.188.204.169,69.171.237.36,492,17.130373000,3.4163,No objects fetched
223.188.204.169,69.171.237.36,492,17.132708000,3.4138,No objects fetched
223.188.204.169,184.50.106.239,47401,18.028349000,4.4771,1 objects with url like http://m.ak.fbcdn.net/photos-f.ak/hphotos-ak-snc7/...
223.188.204.169,184.50.106.239,3646,18.028842000,4.4512,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,32764,18.029358000,4.4763,1 objects with url like http://m.ak.fbcdn.net/photos-e.ak/hphotos-ak-snc6/...
223.188.204.169,184.50.106.239,4151,18.029655000,4.4526,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,83418,18.029933000,6.5328,1 objects with url like http://m.ak.fbcdn.net/photos-c.ak/hphotos-ak-ash3/...
223.188.204.169,69.171.248.16,2144,20.945469000,43.6174,1 objects with url like http://ect.channel.facebook.com/pull?channel=p_100...
223.188.204.169,69.171.248.16,424,21.099158000,3.5192,No objects fetched
223.188.204.169,31.13.79.8,14838,52.322152000,9.9572,1 objects with url like http://m.facebook.com/ai.php?aed=AQKLee0i_aHKWv-qk...
223.188.204.169,31.13.79.8,492,52.577029000,4.4090,No objects fetched
223.188.204.169,184.50.106.239,34003,57.300044000,5.0498,1 objects with url like http://m.ak.fbcdn.net/vthumb.ak/hvthumb-ak-snc6/24...
223.188.204.169,184.50.106.239,46961,57.466672000,4.8832,1 objects with url like http://m.ak.fbcdn.net/photos-c.ak/hphotos-ak-ash4/...
223.188.204.169,184.50.106.239,3534,57.483769000,4.7765,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash3/...
223.188.204.169,184.50.106.239,3850,57.484283000,4.8515,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,16783,57.484803000,4.8652,1 objects with url like http://m.ak.fbcdn.net/photos-b.ak/hphotos-ak-ash4/...
223.188.204.169,184.50.106.239,4797,57.485324000,4.7825,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,3913,57.485762000,4.8333,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc7/...
223.188.204.169,184.50.106.239,35650,57.486215000,4.8635,1 objects with url like http://m.ak.fbcdn.net/photos-d.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,167087,57.486608000,6.6810,1 objects with url like http://m.ak.fbcdn.net/photos-e.ak/hphotos-ak-prn1/...
223.188.204.169,184.50.106.239,32660,57.487042000,4.8629,1 objects with url like http://m.ak.fbcdn.net/photos-e.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,3582,57.491933000,4.8059,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,23939,57.495919000,4.8539,1 objects with url like http://m.ak.fbcdn.net/photos-h.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,424,57.553984000,2.4956,No objects fetched
223.188.204.169,69.171.248.16,2751,64.198417000,24.3920,1 objects with url like http://ect.channel.facebook.com/pull?channel=p_100...
223.188.204.169,69.171.248.16,424,64.452121000,2.9038,No objects fetched
223.188.204.169,31.13.79.8,12234,69.450627000,4.9656,1 objects with url like http://m.facebook.com/photo.php?fbid=2979286803134...
223.188.204.169,31.13.79.8,492,69.702560000,2.3073,No objects fetched
223.188.204.169,184.50.106.239,52225,70.248886000,4.1679,1 objects with url like http://m.ak.fbcdn.net/photos-g.ak/hphotos-ak-snc6/...
223.188.204.169,184.50.106.239,7967,70.500820000,3.9156,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,8028,70.699763000,3.7170,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,7308,70.701248000,5.4688,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,7121,70.702428000,3.7142,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,8099,70.703329000,3.7134,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,8179,70.704447000,3.7122,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,8171,70.705514000,3.7113,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,4351,70.706590000,3.7099,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
