223.188.204.169,184.169.81.30,766450,19.246303000,31.0563
223.188.204.169,199.59.149.240,411013,19.343251000,46.1699
223.188.204.169,199.59.150.7,36467,18.087130000,50.0766
223.188.204.169,118.214.111.144,82206,30.864113000,4.8062
223.188.204.169,74.125.236.184,14950,10.927384000,6.7982
223.188.204.169,184.169.81.33,13103,30.865244000,5.1081
223.188.204.169,23.23.156.58,7805,4.852769000,51.0011
223.188.204.169,50.17.246.73,3609,6.434226000,5.3665
223.188.204.169,122.160.120.56,2293,4.062192000,27.7381
223.188.204.169,23.23.212.172,204,0.000084000,0.5523
223.188.204.169,67.228.26.194,379,0.000000000,0.5523
