106.205.93.239,96.17.182.65,31782,0.000249000,4.7713,1 objects with urls like: http://timesofindia.indiatimes.com/default_b2_glbl...
106.205.93.239,96.17.182.65,23470,0.330707000,4.4698,2 objects with urls like: http://timesofindia.indiatimes.com/jquery_toi.cms	...
106.205.93.239,96.17.182.65,1486,0.330919000,4.4504,1 objects with urls like: http://timesofindia.indiatimes.com/timestrendstopc...
106.205.93.239,223.165.31.15,1294,0.462976000,0.5276,1 objects with urls like: http://ads.indiatimes.com/ads.dll/genptypead?sloti...
106.205.93.239,223.165.31.12,1818,0.464607000,4.3264,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
106.205.93.239,96.17.182.65,424,0.469736000,2.1920,0 objects
106.205.93.239,96.17.182.65,20621,0.471048000,4.3299,2 objects with urls like: http://timesofindia.indiatimes.com/after_body_js.c...
106.205.93.239,98.124.156.54,610,0.490149000,0.0001,0 objects
106.205.93.239,96.17.182.50,5518,0.646646000,4.0868,3 objects with urls like: http://b.scorecardresearch.com/beacon.js	0.9052550...
106.205.93.239,74.125.236.36,2070,0.666912000,4.1630,1 objects with urls like: http://www.google-analytics.com/__utm.gif?utmwv=5....
106.205.93.239,96.17.182.50,492,0.834603000,3.8908,0 objects
106.205.93.239,74.125.236.186,15332,5.742833000,4.3584,1 objects with urls like: http://www.googletagservices.com/tag/js/gpt.js	5.8...
106.205.93.239,74.125.236.26,23649,6.364558000,3.7365,1 objects with urls like: http://partner.googleadservices.com/gampad/google_...
106.205.93.239,54.251.44.204,350,6.520835000,0.3300,0 objects
106.205.93.239,96.17.182.65,54516,7.034864000,5.6866,1 objects with urls like: http://timesofindia.indiatimes.com/photo/18947778....
106.205.93.239,98.124.156.54,497,7.040217000,0.0002,0 objects
106.205.93.239,96.17.182.65,14386,7.042514000,5.6784,2 objects with urls like: http://timesofindia.indiatimes.com/photo/5580816.c...
106.205.93.239,96.17.182.65,11734,7.046129000,5.6751,3 objects with urls like: http://timesofindia.indiatimes.com/photo/13820331....
