0,223.184.78.16,180.149.52.3,1021,0.000000000,3.9516,0,
1,223.184.78.16,180.149.52.3,204,3.633140000,0.2386,0,
2,223.184.78.16,63.116.58.122,2682,3.763406000,15.1117,1,'http://samsungvuiasr.vlingo.com/voicepad/activitylog'::4.501764000
3,223.184.78.16,223.165.25.18,1635,4.702820000,3.9534,1,'http://timesofindia.com/'::6.221960000
4,223.184.78.16,223.165.25.18,424,4.950476000,3.4460,0,
5,223.184.78.16,96.17.182.40,1412,6.457575000,2.6409,1,'http://www.timesofindia.com/'::6.505080000
6,223.184.78.16,96.17.182.40,122928,6.687690000,11.9889,5,"'http://timesofindia.indiatimes.com/'::6.740583000, 'http://timesofindia.indiatimes.com/css_min.cms?version=3'::7.196788000, 'http://timesofindia.indiatimes.com/after_body_js.cms?version=15'::7.366250000, 'http://timesofindia.indiatimes.com/photo/19928334.cms'::9.078285000, 'http://timesofindia.indiatimes.com/photo/19945047.cms'::9.306566000"
7,223.184.78.16,96.17.182.40,8004,7.037066000,11.6396,3,"'http://timesofindia.indiatimes.com/timestrendstopcommoncssnewv.cms?version=1'::7.202280000, 'http://timesofindia.indiatimes.com/photo/13820331.cms'::9.087091000, 'http://timesofindia.indiatimes.com/photo/4580293.cms'::9.437819000"
8,223.184.78.16,96.17.182.40,19199,7.037296000,11.6396,2,"'http://timesofindia.indiatimes.com/double_google_ads_call/msid-4719157,subid-0.cms'::7.201295000, 'http://timesofindia.indiatimes.com/thumb/19947334.cms?width=238&height=160'::9.098069000"
9,223.184.78.16,96.17.182.40,10522,7.043818000,11.6332,3,"'http://timesofindia.indiatimes.com/double_google_ads/msid-4719157,subid-0.cms'::7.200453000, 'http://timesofindia.indiatimes.com/thumb/19945617.cms?width=77&height=50'::9.099890000, 'http://timesofindia.indiatimes.com/photo.cms?msid=1748421'::9.526875000"
10,223.184.78.16,96.17.182.40,11099,7.044051000,11.6330,3,"'http://timesofindia.indiatimes.com/before_body_js.cms?version=11'::7.198544000, 'http://timesofindia.indiatimes.com/thumb/19948760.cms?width=77&height=50'::9.103555000, 'http://timesofindia.indiatimes.com/photo/11350517.cms'::9.542046000"
11,223.184.78.16,96.17.182.40,16669,7.174816000,11.5020,3,"'http://timesofindia.indiatimes.com/tpoint_js_v12.cms?version=6'::7.230139000, 'http://timesofindia.indiatimes.com/photo/14649051.cms'::9.084870000, 'http://timesofindia.indiatimes.com/photo/19913639.cms'::9.427506000"
12,223.184.78.16,96.17.182.40,14624,7.209281000,11.4679,2,"'http://timesofindia.indiatimes.com/photo/19943498.cms'::9.109546000, 'http://timesofindia.indiatimes.com/photo/17489305.cms'::9.646420000"
13,223.184.78.16,223.165.31.15,2170,7.211444000,0.7589,1,'http://ads.indiatimes.com/ads.dll/genptypead?slotid=3736'::7.580121000
14,223.184.78.16,223.165.31.12,2720,7.214322000,11.4521,1,'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::7.580673000
15,223.184.78.16,96.17.182.40,19178,7.221490000,11.4559,2,"'http://timesofindia.indiatimes.com/photo/19943720.cms'::9.111098000, 'http://timesofindia.indiatimes.com/photo/18728895.cms'::9.697507000"
16,223.184.78.16,96.17.182.73,3736,7.246473000,11.5990,1,'http://static.rewards.indiatimes.com/js/lb.js'::7.579018000
17,223.184.78.16,96.17.182.73,868,7.428013000,11.2491,0,
18,223.184.78.16,223.165.31.15,416,7.460032000,11.2061,0,
19,223.184.78.16,223.165.31.12,416,7.462611000,11.2039,0,
20,223.184.78.16,96.17.182.66,3858,7.536926000,11.1186,1,'http://adscontent2.indiatimes.com/nsjsonrequest_v1.js'::7.761656000
21,223.184.78.16,74.125.135.95,37232,7.537237000,11.1390,1,'http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js'::7.769538000
22,223.184.78.16,96.17.182.66,4103,7.758878000,11.0880,2,"'http://b.scorecardresearch.com/beacon.js'::7.846523000, 'http://b.scorecardresearch.com/b?c1=2&c2=6036484&ns__t=1368008776460&ns_c=UTF-8&c8=The%20Times%20of%20India%3A%20Latest%20News%20India%2C%20World%20%26%20Business%20News%2C%20Cricket%20%26%20Sports%2C%20Bollywood&c7=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&c9='::7.993659000"
23,223.184.78.16,173.194.36.77,16998,7.759893000,10.9067,1,'http://www.googletagservices.com/tag/js/gpt.js'::7.886042000
24,223.184.78.16,173.194.36.69,20665,7.760476000,10.9404,2,"'http://www.google-analytics.com/ga.js'::7.887380000, 'http://www.google-analytics.com/__utm.gif?utmwv=5.4.1&utms=3&utmn=1493497445&utmhn=timesofindia.indiatimes.com&utmcs=UTF-8&utmsr=720x1280&utmvp=340x423&utmsc=32-bit&utmul=en-gb&utmje=0&utmfl=-&utmdt=The%20Times%20of%20India%3A%20Latest%20News%20India%2C%20World%20%26%20Business%20News%2C%20Cricket%20%26%20Sports%2C%20Bollywood&utmhid=1534896894&utmr=-&utmp=%2F&utmht=1368008776990&utmac=UA-198011-4&utmcc=__utma%3D1.1623862784.1365488234.1367999787.1368008266.30%3B%2B__utmz%3D1.1365488234.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=qh~'::8.512304000"
25,223.184.78.16,173.194.36.69,868,7.778594000,10.9669,0,
26,223.184.78.16,96.17.182.66,684,7.779945000,11.0552,0,
27,223.184.78.16,173.194.36.77,424,7.795245000,10.8714,0,
