name,first_dns_addr,first_get_addr,dns_lookup_time,tcp_handshake_time,redirection_time,peak_bandwidth,total_page_size,num_objects,rtt_mean,rtt_std_deviation,pageLoadTime,signalStrength
m-toi,timesofindia.com,http://m.timesofindia.com/,0.06246199999999999,0.05891100000000016,6.435727,234.932,274430,32,0.06035584866468846,0.19102435824283479,0,0
toi,,,0.07942500000000052,0.03845400000000154,0.4317410000000024,314.316,1266886,173,0.08045142247332082,0.34276676328475675,0,0
m-nytimes,www.nytimes.com,http://mobile.nytimes.com/,0.37731500000001006,0.4425689999999918,1.5466610000000003,170.388,334544,34,0.1224562086720868,0.20114955438053447,0,0
nytimes,www.nytimes.com,http://www.nytimes.com/,0.37731500000001006,0.33945500000000095,0.0007319999999992888,681.392,3150668,180,0.056450082875457865,0.18375634299142277,0,0
m-cricinfo,www.cricinfo.com,http://m.espncricinfo.com/,0.619940999999983,0.35146499999999037,1.9680790000000172,557.306,1030092,52,0.07412370080862539,0.2170099376846902,0,0
cricinfo,www.cricinfo.com,http://www.espncricinfo.com/,0.619940999999983,0.041287000000011176,1.5037930000000017,674.58,2262323,177,0.05461516511730852,0.14025387661386107,0,0
