0,106.202.104.16,184.50.127.139,136,0.000000000,0.0752,0,
1,106.202.104.16,223.165.31.12,9073,0.069098000,23.4866,6,"'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::16.384788000, 'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::20.334096000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=1202'::21.494507000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=1591'::21.883526000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=160'::23.127684000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=679'::23.431099000"
2,106.202.104.16,74.125.236.13,91899,0.075534000,26.0106,4,"'http://pagead2.googlesyndication.com/pagead/show_ads.js'::23.527815000, 'http://pagead2.googlesyndication.com/pagead/js/r20130311/r20130206/show_ads_impl.js'::24.308376000, 'http://pagead2.googlesyndication.com/simgad/8121598139983624298'::25.247608000, 'http://pagead2.googlesyndication.com/simgad/4371801846683945257'::25.916346000"
3,106.202.104.16,96.17.182.74,4116,0.100974000,23.6846,1,'http://card.cricket.timesofindia.indiatimes.com/cricketscorecard/swfobject.js'::23.714454000
4,106.202.104.16,96.17.182.74,12609,0.301142000,23.6843,4,"'http://adscontent2.indiatimes.com/nsjsonrequest_v1.js'::16.391690000, 'http://adscontent2.indiatimes.com/NS_Flash_v8.js'::17.138429000, 'http://adscontent2.indiatimes.com/googletiladsense_stn_v13.js'::23.524679000, 'http://adscontent2.indiatimes.com/googletiladsense_stn_v14.js'::23.910286000"
5,106.202.104.16,96.17.182.57,3962,0.461070000,23.7739,2,"'http://static.rewards.indiatimes.com/js/lb.js'::16.347129000, 'http://static.rewards.indiatimes.com/fns/daily/daily_TOI.json'::24.167962000"
6,106.202.104.16,192.150.16.64,1529,1.011150000,23.4839,1,'http://www.adobe.com/images/shared/download_buttons/get_flash_player.gif'::24.124278000
7,106.202.104.16,96.17.182.57,3580,1.021024000,23.6546,1,'http://mytimes.indiatimes.com/image/thumb/1/852719'::24.573845000
8,106.202.104.16,96.17.182.57,3616,1.021206000,23.6452,1,'http://mytimes.indiatimes.com/image/thumb/1/124437'::24.569555000
9,106.202.104.16,96.17.182.57,3140,1.021327000,23.6237,1,'http://mytimes.indiatimes.com/image/thumb/12/3768'::24.565249000
10,106.202.104.16,96.17.182.57,3576,1.021428000,23.6201,1,'http://mytimes.indiatimes.com/image/thumb/3/152636'::24.561634000
11,106.202.104.16,96.17.182.57,4183,1.021526000,23.5938,1,'http://mytimes.indiatimes.com/image/thumb/5/543579'::24.539849000
12,106.202.104.16,74.125.236.25,3454,1.436090000,23.8592,1,'http://googleads.g.doubleclick.net/pagead/ads?client=ca-timesofindia_site_js&output=js&num_ads=2&channel=TOI_home_top&ad_type=text&adtest=off&ea=0&color_line=ff0000&feedback_link=on&flash=0&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&adsafe=high&dt=1363858008520&shv=r20130311&cbv=r20130206&saldr=1&correlator=1363858008932&frm=23&adk=511001906&ga_vid=1139398094.1363858009&ga_sid=1363858009&ga_hid=244653208&ga_fc=0&u_tz=330&u_his=3&u_java=1&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=32&u_nplug=0&u_nmime=0&dff=times%20new%20roman&dfs=16&biw=980&bih=1543&isw=670&ish=90&ifk=2971393465&oid=3&loc=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&fu=4&ifi=1&dtd=461'::24.944555000
13,106.202.104.16,74.125.236.25,3146,1.611021000,23.6043,1,'http://googleads.g.doubleclick.net/pagead/ads?client=ca-timesofindia_site_js&output=js&image_size=300x250&num_ads=3&channel=iPadTOI&ad_type=text%2Cflash%2Cgif%2Chtml&adtest=off&ea=0&color_line=ff0000&feedback_link=on&flash=0&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2Fdefaultinterstitial.cms&adsafe=high&dt=1363858008338&shv=r20130311&cbv=r20130206&saldr=1&correlator=1363858004900&frm=20&adk=2797183476&ga_vid=1408395129.1363858009&ga_sid=1363858009&ga_hid=98128159&ga_fc=0&u_tz=330&u_his=3&u_java=1&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=32&u_nplug=0&u_nmime=0&dff=arial&dfs=16&biw=980&bih=1543&oid=3&ref=http%3A%2F%2Ftimesofindia.indiatimes.com%2Fdefaultinterstitial.cms&loc=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&fu=0&ifi=11&dtd=538'::24.839859000
14,106.202.104.16,96.17.182.40,3024,1.661025000,23.4641,1,'http://wwwimages.adobe.com/www.adobe.com/images/shared/download_buttons/get_flash_player.gif'::25.054532000
