106.202.104.16,96.17.182.40,441420,0.025177000,
106.202.104.16,74.125.236.13,185219,3.095079000,
106.202.104.16,96.17.182.64,191148,10.716489000,
106.202.104.16,96.17.182.65,148982,0.652367000,
122.160.120.56,106.202.104.16,17671,0.000000000,
106.202.104.16,96.17.182.11,78959,30.190504000,
106.202.104.16,96.17.182.74,67628,7.216167000,
106.202.104.16,23.35.65.224,61450,8.942705000,
184.50.127.139,106.202.104.16,65391,24.060869000,
106.202.104.16,23.0.147.206,44948,14.491457000,
106.202.104.16,74.125.236.26,21819,10.091454000,
106.202.104.16,96.17.182.73,29183,2.988754000,
223.165.31.12,106.202.104.16,13256,3.752943000,
106.202.104.16,74.125.128.95,37012,3.020729000,
106.202.104.16,31.13.79.23,13377,24.078239000,
184.50.114.110,106.202.104.16,22262,26.486439000,
106.202.104.16,96.17.182.67,25836,16.251450000,
223.165.25.20,106.202.104.16,12454,8.942491000,
106.202.104.16,74.125.236.25,23505,4.106474000,
106.202.104.16,96.17.182.41,6849,3.779935000,
106.202.104.16,96.17.182.57,4763,13.326531000,
202.79.210.121,106.202.104.16,9564,8.907614000,
106.202.104.16,74.125.236.131,19832,3.088245000,
199.59.150.43,106.202.104.16,7578,26.006616000,
192.150.16.64,106.202.104.16,2888,19.976685000,
106.202.104.16,74.125.236.129,1272,19.669534000,
223.165.25.205,106.202.104.16,2297,8.896391000,
106.202.104.16,54.225.239.142,2221,29.005187000,
173.194.36.47,106.202.104.16,3129,6.086052000,
106.202.104.16,96.17.182.9,5907,13.321471000,
106.202.104.16,96.17.182.48,8669,21.336841000,
106.202.104.16,74.125.236.28,848,19.667966000,
106.202.104.16,23.35.66.127,4644,15.186456000,
106.202.104.16,74.125.236.27,3642,6.229696000,
223.165.31.15,106.202.104.16,1336,3.002921000,
106.202.104.16,74.125.236.16,1622,17.346482000,
106.202.104.16,98.124.156.54,2141,8.943037000,
106.202.104.16,74.125.236.23,272,37.441443000,
106.202.104.16,50.22.231.58,272,24.430115000,
106.202.104.16,74.125.236.19,220,30.032853000,
