0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
102,106.211.78.227,96.17.182.40,1655,72.804927000,0.1598,1,'http://timesofindia.indiatimes.com/photo/19492797.cms'::72.883313000
103,106.211.78.227,223.165.30.26,580,72.841060000,5.7930,0,
104,106.211.78.227,115.112.206.17,580,72.841729000,5.7925,0,
105,106.211.78.227,223.165.26.120,572,72.842090000,6.0285,0,
106,106.211.78.227,23.35.34.127,4613,80.108767000,0.4215,1,'http://static.chartbeat.com/js/chartbeat.js'::80.312070000
107,106.211.78.227,96.17.182.66,1728,80.116115000,0.3042,1,'http://www.indiatimes.com/static_pages/indiatimes.json'::80.116115000
108,106.211.78.227,96.17.182.19,1714,80.118785000,0.3160,1,'http://www.speakingtree.in/cache/toi?feed=article&type=featured&limit=46&callback=sptree'::80.118785000
109,106.211.78.227,184.25.47.139,65132,80.131326000,0.6091,1,'http://connect.facebook.net/en_US/all.js'::80.131326000
110,106.211.78.227,31.13.79.17,6639,80.137275000,0.6739,1,'http://www.facebook.com/plugins/like.php?app_id=117787264903013&href=http%3A%2F%2Fwww.facebook.com%2FTimesofIndia&send=false&layout=button_count&width=450&show_faces=false&action=like&colorscheme=light&font=arial&height=21'::80.137275000
111,106.211.78.227,184.31.209.224,424,80.141958000,18.6588,0,
112,106.211.78.227,184.31.209.224,424,80.312976000,18.4879,0,
113,106.211.78.227,184.31.209.224,59312,80.347306000,2.2260,2,"'http://platform.twitter.com/widgets.js'::80.531608000, 'http://platform.twitter.com/widgets/follow_button.1363148939.html'::82.114157000"
114,106.211.78.227,23.35.34.127,492,80.464366000,18.2750,0,
115,106.211.78.227,184.31.209.224,424,80.515475000,18.2851,0,
116,106.211.78.227,96.17.182.65,9547,81.205704000,0.2843,1,'http://media.indiatimes.in/media/photogallery/2013/Apr/sunny-leone_1365585836_1365585847_100x75.jpg'::81.351143000
117,106.211.78.227,96.17.182.19,2797,81.209611000,0.2813,1,'http://images.speakingtree.iimg.in/files/rsz/fit_s_60x54/files/04-2013/1/872c2a30e126264176c4ce998add8420_1365674661.jpg'::81.370908000
118,106.211.78.227,96.17.182.9,424,81.569426000,17.1696,0,
119,106.211.78.227,54.243.145.108,480,82.093511000,16.8945,0,
120,106.211.78.227,65.54.82.149,47791,82.102399000,16.7159,1,'http://ajax.aspnetcdn.com/ajax/jQuery/jquery-1.7.2.min.js'::82.465600000
121,106.211.78.227,96.17.182.66,1281,82.103036000,0.2574,1,'http://card.cricket.timesofindia.indiatimes.com/cricketscorecard/htmlscore/flvmapjson.html'::82.103036000
122,106.211.78.227,223.165.26.45,2974,82.112636000,16.6882,1,'http://crifeeds.timesofindia.indiatimes.com/GetCalender.json'::82.392645000
123,106.211.78.227,96.17.182.67,24000,82.192952000,16.6075,2,"'http://static.ak.facebook.com/connect/xd_arbiter.php?version=21'::82.361739000, 'http://static.ak.facebook.com/connect/xd_arbiter.php?version=21'::98.485080000"
124,106.211.78.227,184.25.34.110,12725,82.197337000,4.2822,0,
125,106.211.78.227,31.13.79.17,1650,82.198328000,0.4914,0,
126,106.211.78.227,54.243.47.172,480,82.293030000,16.6871,0,
127,106.211.78.227,184.25.34.110,1622,82.334441000,16.4258,0,
128,106.211.78.227,96.17.182.67,424,82.334961000,16.4041,0,
129,106.211.78.227,223.165.26.45,6338,82.335331000,17.4869,1,'http://crifeeds.timesofindia.indiatimes.com/GetCurrentScoreCardbckr1104.json'::99.559952000
130,106.211.78.227,65.54.82.149,560,82.335786000,16.4030,0,
131,106.211.78.227,65.54.82.150,560,82.387659000,16.4170,0,
132,106.211.78.227,184.73.248.106,1202,82.389262000,16.5871,1,'http://ping.chartbeat.net/ping?h=timesofindia.indiatimes.com&p=%2F&u=vgx7qym1dwlreh01&d=timesofindia.indiatimes.com&g=10538&g0=Home%20Page&n=1&f=1&c=0.01&x=4018&y=5370&w=1544&j=45&R=1&W=0&I=0&E=0&r=&b=52526&t=ib7cg26jaaysvf8v&V=8&D=64hfgri3fjwdgrkz&i=The%20Times%20of%20India%3A%20Latest%20News%20India%2C%20World%20%26%20Business%20News%2C%20Cricket%20%26%20Sports%2C%20Bollywood&_'::98.355790000
133,106.211.78.227,223.165.26.45,736,82.390562000,21.1742,0,
134,106.211.78.227,96.17.182.16,424,98.370466000,6.0993,0,
135,106.211.78.227,184.31.3.206,43070,98.370850000,2.1099,1,'http://m-static.ak.fbcdn.net/rsrc.php/v2/yA/r/6pvTFYnsN5C.js'::99.043386000
136,106.211.78.227,184.31.3.206,424,98.371207000,6.4111,0,
137,106.211.78.227,184.31.3.206,2110,98.371568000,1.0787,1,'http://m-static.ak.fbcdn.net/rsrc.php/v2/yh/r/1dQf_ATK831.png'::99.054808000
138,106.211.78.227,184.31.3.206,424,98.371903000,6.3932,0,
139,106.211.78.227,184.73.248.106,1333,98.410739000,1.2204,1,'http://ping.chartbeat.net/ping?h=timesofindia.indiatimes.com&p=%2F&u=vgx7qym1dwlreh01&d=timesofindia.indiatimes.com&g=10538&g0=Home%20Page&n=1&f=1&c=0.3&x=3502&y=5370&w=1544&j=30&R=1&W=0&I=0&E=15&b=52526&t=ib7cg26jaaysvf8v&V=8&_'::99.021007000
140,106.211.78.227,184.31.3.206,424,98.526599000,6.2384,0,
141,106.211.78.227,184.31.3.206,424,98.526945000,6.2379,0,
142,106.211.78.227,184.31.3.206,424,98.527210000,6.2452,0,
143,106.211.78.227,184.31.3.206,424,98.559603000,6.2054,0,
144,106.211.78.227,54.243.47.172,492,98.620078000,2.2995,0,
145,106.211.78.227,54.243.47.172,492,98.803342000,2.1168,0,
146,106.211.78.227,96.17.182.16,424,98.804859000,5.6650,0,
147,106.211.78.227,23.35.33.224,1247,98.919523000,0.4504,1,'http://p.twitter.com/f.gif?_=1365679033622&id=twitter-widget-0&lang=en&screen_name=timesofindia&show_count=false&show_screen_name=true&size=m&twttr_variant=2.0&twttr_referrer=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&twttr_widget=1&twttr_hask=0&twttr_li=0&twttr_pid='::98.919523000
148,106.211.78.227,184.73.194.227,424,99.123694000,2.1714,0,
149,106.211.78.227,54.251.44.204,292,104.213859000,0.2368,0,
150,106.211.78.227,96.17.182.66,424,113.681142000,8.7341,0,
151,106.211.78.227,54.243.47.172,640,114.430961000,4.8543,0,
152,106.211.78.227,184.73.194.227,1516,114.582099000,1.6928,1,'http://ping.chartbeat.net/ping?h=timesofindia.indiatimes.com&p=%2F&u=vgx7qym1dwlreh01&d=timesofindia.indiatimes.com&g=10538&g0=Home%20Page&n=1&f=1&c=0.55&x=980&y=5370&w=1544&j=30&R=1&W=0&I=0&E=30&r=&b=52526&t=ib7cg26jaaysvf8v&V=8&i=The%20Times%20of%20India%3A%20Latest%20News%20India%2C%20World%20%26%20Business%20News%2C%20Cricket%20%26%20Sports%2C%20Bollywood&_'::115.659747000
153,106.211.78.227,96.17.182.65,424,115.467393000,6.9477,0,
154,106.211.78.227,184.73.175.201,708,115.525628000,3.7601,0,
155,106.211.78.227,174.129.219.231,708,115.789437000,3.4962,0,
156,106.211.78.227,184.173.179.34,76,125.604662000,0.0000,0,
