0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
16,106.211.78.227,96.17.182.40,18306,25.108375000,6.4316,8,"'http://timesofindia.indiatimes.com/double_google_ads/msid-4719157,subid-0.cms'::25.108375000, 'http://timesofindia.indiatimes.com/photo/14649051.cms'::25.115751000, 'http://timesofindia.indiatimes.com/thumb/19489527.cms?width=77&height=50'::25.121484000, 'http://timesofindia.indiatimes.com/photo/19488210.cms'::25.125649000, 'http://timesofindia.indiatimes.com/photo/17767460.cms'::25.152478000, 'http://timesofindia.indiatimes.com/photo/4467783.cms'::25.181056000, 'http://timesofindia.indiatimes.com/photo/17767460.cms'::31.233314000, 'http://timesofindia.indiatimes.com/photo/4467783.cms'::31.430031000"
17,106.211.78.227,23.35.36.211,776,25.109739000,0.1394,1,'http://cdn.optimizely.com/js/83181943.js'::25.109739000
18,106.211.78.227,96.17.182.40,36915,25.126299000,55.3234,14,"'http://timesofindia.indiatimes.com/photo/19479988.cms'::25.126299000, 'http://timesofindia.indiatimes.com/photo/19488219.cms'::25.127069000, 'http://timesofindia.indiatimes.com/photo/4580293.cms'::25.127996000, 'http://timesofindia.indiatimes.com/photo.cms?msid=1748421'::25.138721000, 'http://timesofindia.indiatimes.com/photo/11964050.cms'::25.175108000, 'http://timesofindia.indiatimes.com/photo/11350517.cms'::26.903585000, 'http://timesofindia.indiatimes.com/photo/4748680.cms'::30.579055000, 'http://timesofindia.indiatimes.com/configspace/ads/TOIHP_Right.html'::36.247965000, 'http://timesofindia.indiatimes.com/thumb/15339457.cms?width=81&height=53'::63.224375000, 'http://timesofindia.indiatimes.com/thumb/19488252.cms?width=88&height=65'::72.599318000, 'http://timesofindia.indiatimes.com/thumb/19488394.cms?width=88&height=65'::72.773083000, 'http://timesofindia.indiatimes.com/photo/19489486.cms'::72.863092000, 'http://timesofindia.indiatimes.com/photo/4761631.cms'::72.927095000, 'http://timesofindia.indiatimes.com/photo/6713473.cms'::80.129034000"
19,106.211.78.227,96.17.182.40,10892,25.131343000,47.8469,5,"'http://timesofindia.indiatimes.com/photo/16627036.cms'::26.904100000, 'http://timesofindia.indiatimes.com/thumb/19492167.cms?width=81&height=53'::63.228301000, 'http://timesofindia.indiatimes.com/thumb/19488272.cms?width=88&height=65'::72.600158000, 'http://timesofindia.indiatimes.com/thumb/19472341.cms?width=88&height=65'::72.805361000, 'http://timesofindia.indiatimes.com/photo/19492740.cms'::72.881883000"
20,106.211.78.227,96.17.182.73,3691,25.186935000,15.3829,2,"'http://static.rewards.indiatimes.com/js/lb.js'::25.627839000, 'http://static.rewards.indiatimes.com/fns/daily/daily_TOI.json'::40.255165000"
21,106.211.78.227,223.165.31.15,1627,25.202017000,0.6974,1,'http://ads.indiatimes.com/ads.dll/genptypead?slotid=3736'::25.719150000
22,106.211.78.227,96.17.182.65,31559,25.206832000,38.1779,6,"'http://adscontent2.indiatimes.com/nsjsonrequest_v1.js'::25.677645000, 'http://adscontent2.indiatimes.com/googletiladsense_stn_v14.js'::32.404188000, 'http://adscontent2.indiatimes.com/googletiladsense_stn_v14.js'::33.405805000, 'http://adscontent2.indiatimes.com/photo/19031243.cms'::33.665350000, 'http://adscontent2.indiatimes.com/googletiladsense_stn_v14.js'::38.005567000, 'http://adscontent2.indiatimes.com/NS_Flash_v8.js'::62.638653000"
23,106.211.78.227,74.125.135.95,940,25.209433000,0.7101,1,'http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js'::25.781735000
24,106.211.78.227,223.165.31.12,929,25.301979000,0.4532,1,'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::25.301979000
25,106.211.78.227,96.17.182.40,93708,25.355649000,77.0749,17,"'http://timesofindia.indiatimes.com/photo/4467783.cms'::26.904637000, 'http://timesofindia.indiatimes.com/photo/5539187.cms'::30.574092000, 'http://timesofindia.indiatimes.com/photo/5711192.cms'::31.714741000, 'http://timesofindia.indiatimes.com/photo/11339010.cms'::35.383821000, 'http://timesofindia.indiatimes.com/photo/18728895.cms'::36.246162000, 'http://timesofindia.indiatimes.com/tpoint_fans2.cms?type=toi'::37.990706000, 'http://timesofindia.indiatimes.com/tmoney.cms?msid=-2128958273'::40.364686000, 'http://timesofindia.indiatimes.com/photo/4748680.cms'::42.085065000, 'http://timesofindia.indiatimes.com/horoscopeshow.cms?msid=121233212&contenttype=1&popup=1&arc=1&sunsign=1&timetype=1&astroid=1&B1=Go'::62.627333000, 'http://timesofindia.indiatimes.com/thumb/19485181.cms?width=81&height=53'::63.260342000, 'http://timesofindia.indiatimes.com/thumb/19425047.cms?width=81&height=53'::72.598248000, 'http://timesofindia.indiatimes.com/thumb/19474518.cms?width=88&height=65'::72.751155000, 'http://timesofindia.indiatimes.com/thumb/19444734.cms?width=81&height=53'::72.860855000, 'http://timesofindia.indiatimes.com/photo/19488296.cms'::72.926067000, 'http://timesofindia.indiatimes.com/breakingnews/breakingnews.html'::80.124393000, 'http://timesofindia.indiatimes.com/jquery_toi.cms'::82.101581000, 'http://timesofindia.indiatimes.com/photo/18627791.cms'::101.560428000"
26,106.211.78.227,173.194.36.89,16158,25.374091000,12.9960,2,"'http://www.googletagservices.com/tag/js/gpt.js'::25.779796000, 'http://www.googletagservices.com/tag/js/gpt.js'::38.003328000"
27,106.211.78.227,173.194.36.73,2116,25.378082000,0.8414,2,"'http://www.google-analytics.com/ga.js'::25.378082000, 'http://www.google-analytics.com/__utm.gif?utmwv=5.4.1&utms=2&utmn=289971143&utmhn=timesofindia.indiatimes.com&utmcs=UTF-8&utmsr=720x1280&utmvp=720x1134&utmsc=16-bit&utmul=en-us&utmje=0&utmfl=11.1%20r115&utmdt=The%20Times%20of%20India%3A%20Latest%20News%20India%2C%20World%20%26%20Business%20News%2C%20Cricket%20%26%20Sports%2C%20Bollywood&utmhid=1405701896&utmr=-&utmp=%2F&utmht=1365678978150&utmac=UA-198011-4&utmcc=__utma%3D1.1573691167.1365678897.1365678897.1365678897.1%3B%2B__utmz%3D1.1365678897.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=qh~'::26.124473000"
