106.211.78.227,173.194.36.90,2154,33.396930000,1.0325,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
106.211.78.227,96.17.182.66,424,33.410133000,5.8399,0 objects
106.211.78.227,96.17.182.66,424,33.454697000,5.7851,0 objects
106.211.78.227,96.17.182.65,492,33.656950000,5.5811,0 objects
106.211.78.227,173.194.36.90,1640,36.227651000,0.5122,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
106.211.78.227,173.194.36.90,1650,43.620590000,0.4488,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
106.211.78.227,96.17.182.57,424,47.709575000,6.4921,0 objects
106.211.78.227,96.17.182.57,424,47.712510000,6.4449,0 objects
106.211.78.227,96.17.182.57,424,47.714999000,6.4252,0 objects
106.211.78.227,96.17.182.57,424,47.717450000,6.4120,0 objects
106.211.78.227,96.17.182.57,424,47.720441000,6.3891,0 objects
106.211.78.227,96.17.182.73,424,47.956044000,6.1415,0 objects
106.211.78.227,96.17.182.73,424,47.956326000,6.1310,0 objects
106.211.78.227,96.17.182.73,424,47.956523000,6.0930,0 objects
106.211.78.227,96.17.182.73,424,47.956705000,6.0705,0 objects
106.211.78.227,96.17.182.73,424,47.956882000,6.0665,0 objects
106.211.78.227,31.13.79.1,4872,53.217656000,1.7019,0 objects
106.211.78.227,31.13.79.1,5443,53.236578000,1.9134,0 objects
106.211.78.227,31.13.79.1,14950,53.279241000,2.1705,0 objects
106.211.78.227,173.194.36.104,9748,55.603802000,12.3306,0 objects
106.211.78.227,96.17.182.48,1235,61.531988000,0.5680,1 objects with urls like: http://in-cdn.effectivemeasure.net/em.js	62.022310...
106.211.78.227,96.17.182.43,424,62.021215000,5.9890,0 objects
106.211.78.227,223.165.25.20,2233,62.142825000,0.4720,1 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/getad?...
106.211.78.227,96.17.182.40,424,63.231476000,6.6938,0 objects
106.211.78.227,96.17.182.40,424,63.474132000,6.4481,0 objects
106.211.78.227,31.13.79.1,14906,70.385995000,2.5142,0 objects
106.211.78.227,31.13.79.1,8727,70.386042000,2.5144,0 objects
106.211.78.227,31.13.79.1,5343,70.392223000,2.5083,0 objects
106.211.78.227,31.13.79.17,6216,70.713336000,2.2115,0 objects
106.211.78.227,96.17.182.11,1230,71.592216000,1.2174,1 objects with urls like: http://static.gaana.com/images/albums/17/92317/cro...
106.211.78.227,96.17.182.11,2176,71.594888000,1.2251,2 objects with urls like: http://static.gaana.com/images/albums/96/93296/cro...
106.211.78.227,96.17.182.11,1232,71.597461000,1.2226,1 objects with urls like: http://static.gaana.com/images/albums/35/72235/cro...
106.211.78.227,96.17.182.11,1232,71.600466000,1.2322,1 objects with urls like: http://static.gaana.com/images/albums/76/57576/cro...
106.211.78.227,96.17.182.11,1232,71.606449000,1.2338,1 objects with urls like: http://static.gaana.com/images/albums/67/88467/cro...
106.211.78.227,96.17.182.11,424,71.609392000,5.9309,0 objects
106.211.78.227,115.112.206.17,580,72.531407000,6.3389,0 objects
106.211.78.227,223.165.30.26,580,72.533085000,6.1073,0 objects
106.211.78.227,203.199.89.9,360,72.592580000,6.0476,0 objects
106.211.78.227,96.17.182.65,424,72.594859000,6.0546,0 objects
106.211.78.227,96.17.182.40,7983,72.804397000,7.6575,2 objects with urls like: http://timesofindia.indiatimes.com/thumb/19489954....
