106.211.24.248,96.17.181.16,553914,0.151506000,
106.211.24.248,96.17.181.27,319695,1.033954000,
106.211.24.248,74.125.236.154,135979,1.252570000,
125.252.226.154,106.211.24.248,70938,7.669363000,
106.211.24.248,96.17.181.11,70064,3.262266000,
173.194.36.45,106.211.24.248,40437,1.841759000,
106.211.24.248,23.35.65.224,60758,7.474459000,
184.50.127.139,106.211.24.248,65320,7.475148000,
106.211.24.248,2.17.51.206,45072,8.289356000,
122.160.120.56,106.211.24.248,9318,0.000000000,
223.165.31.12,106.211.24.248,13098,0.937096000,
106.211.24.248,98.124.156.54,10940,6.661577000,
223.165.25.20,106.211.24.248,11273,3.640075000,
106.211.24.248,31.13.79.23,13437,7.531285000,
106.211.24.248,96.17.181.32,15103,4.839972000,
106.211.24.248,96.17.181.19,32110,3.568698000,
106.211.24.248,96.17.181.35,15983,1.252153000,
106.211.24.248,74.125.236.100,19949,1.252402000,
199.59.148.16,106.211.24.248,7553,8.430207000,
106.211.24.248,96.17.181.18,10839,5.317672000,
184.50.114.110,106.211.24.248,14646,9.027444000,
173.194.36.15,106.211.24.248,5600,2.459403000,
173.194.36.27,106.211.24.248,4439,3.231467000,
184.73.194.227,106.211.24.248,2179,10.698196000,
124.153.70.218,106.211.24.248,4781,3.191716000,
106.211.24.248,74.125.236.109,6307,2.429517000,
106.211.24.248,96.17.181.25,4956,9.927573000,
125.252.226.153,106.211.24.248,3108,7.421721000,
125.252.226.155,106.211.24.248,2860,3.023951000,
223.165.31.19,106.211.24.248,1750,0.944280000,
193.104.215.61,106.211.24.248,1888,4.737587000,
223.165.31.15,106.211.24.248,1294,0.934328000,
