27.60.129.157,74.125.31.188,68,0.000000000,0.0000,No objects fetched
27.60.129.157,74.125.236.23,11312,5.206353000,4.0515,No objects fetched
27.60.129.157,66.220.152.16,1996,8.629684000,5.2571,No objects fetched
27.60.129.157,66.220.152.16,492,8.785630000,2.8711,No objects fetched
27.60.129.157,31.13.79.4,2104,9.731579000,3.7264,No objects fetched
27.60.129.157,31.13.79.8,35012,11.171504000,8.4467,No objects fetched
27.60.129.157,184.50.99.206,82322,13.964103000,8.3362,No objects fetched
27.60.129.157,184.50.99.206,204906,13.964635000,11.4445,No objects fetched
27.60.129.157,184.50.99.206,2255,13.965007000,3.9419,No objects fetched
27.60.129.157,184.50.99.206,37599,13.965350000,8.3353,No objects fetched
27.60.129.157,184.50.99.206,1888,13.965701000,3.9414,No objects fetched
27.60.129.157,184.50.99.206,2076,13.966023000,3.9585,No objects fetched
27.60.129.157,184.50.99.206,2703,13.966387000,3.9600,No objects fetched
27.60.129.157,184.50.99.206,67146,13.966756000,8.3328,No objects fetched
27.60.129.157,184.50.99.206,1924,13.967135000,3.9576,No objects fetched
27.60.129.157,184.50.99.206,49888,13.967577000,10.4586,No objects fetched
27.60.129.157,184.50.99.206,23943,13.968000000,8.3330,No objects fetched
27.60.129.157,184.50.99.206,33885,13.968388000,8.3304,No objects fetched
27.60.129.157,184.50.99.206,18080,13.968891000,8.3310,No objects fetched
27.60.129.157,184.50.99.206,57075,14.171110000,8.1321,No objects fetched
27.60.129.157,184.50.106.239,3916,15.868224000,3.8223,No objects fetched
27.60.129.157,184.50.106.239,52980,15.869004000,8.5897,No objects fetched
27.60.129.157,184.50.106.239,76953,15.869698000,8.5993,No objects fetched
27.60.129.157,184.50.106.239,11857,15.870087000,8.5802,No objects fetched
27.60.129.157,184.50.106.239,20396,15.870416000,8.5779,No objects fetched
27.60.129.157,184.50.106.239,23441,15.870747000,8.5886,No objects fetched
27.60.129.157,184.50.106.239,18466,15.995288000,8.4537,No objects fetched
27.60.129.157,184.50.99.206,11549,17.109929000,7.3153,No objects fetched
27.60.129.157,184.50.99.206,424,17.111092000,3.7154,No objects fetched
27.60.129.157,184.50.99.206,424,17.112544000,5.1646,No objects fetched
27.60.129.157,184.50.99.206,424,17.113983000,5.1655,No objects fetched
27.60.129.157,184.50.99.206,424,17.114742000,5.1835,No objects fetched
27.60.129.157,184.50.99.206,424,17.150651000,5.1278,No objects fetched
27.60.129.157,184.50.99.206,424,17.153567000,5.1457,No objects fetched
27.60.129.157,184.50.106.239,8138,19.495933000,4.9516,No objects fetched
27.60.129.157,184.50.106.239,30668,19.502202000,4.9558,No objects fetched
27.60.129.157,184.50.106.239,9111,19.506603000,4.9404,No objects fetched
27.60.129.157,184.50.106.239,7154,19.519280000,4.9304,No objects fetched
27.60.129.157,184.50.106.239,37146,19.530065000,4.9267,No objects fetched
27.60.129.157,184.50.106.239,6594,19.534027000,4.9260,No objects fetched
27.60.129.157,184.50.106.239,71683,19.542080000,4.9277,No objects fetched
27.60.129.157,184.50.106.239,4570,20.610165000,3.8471,No objects fetched
27.60.129.157,184.50.106.239,4746,20.612736000,3.8579,No objects fetched
27.60.129.157,184.50.106.239,4111,20.614111000,3.8531,No objects fetched
27.60.129.157,184.50.106.239,4578,20.615395000,3.8528,No objects fetched
27.60.129.157,184.50.106.239,424,20.616383000,3.8105,No objects fetched
27.60.129.157,31.13.79.8,2893,22.349048000,2.9860,No objects fetched
27.60.129.157,69.171.248.16,1505,25.285031000,1.0593,No objects fetched
27.60.129.157,69.171.248.16,424,25.351616000,2.9477,No objects fetched
27.60.129.157,74.125.236.17,136,25.705802000,0.0374,No objects fetched
27.60.129.157,31.13.79.8,8432,28.265603000,3.6888,No objects fetched
27.60.129.157,184.50.106.239,3486,29.837229000,3.9226,No objects fetched
27.60.129.157,184.50.106.239,56826,29.854814000,1.3033,No objects fetched
27.60.129.157,184.50.106.239,83956,29.857433000,1.6503,No objects fetched
27.60.129.157,184.50.106.239,3436,29.860843000,3.8994,No objects fetched
27.60.129.157,184.50.106.239,111129,29.862496000,1.6364,No objects fetched
27.60.129.157,184.50.106.239,3125,29.864197000,0.8629,No objects fetched
27.60.129.157,184.50.106.239,14749,29.865998000,0.9127,No objects fetched
27.60.129.157,184.50.106.239,53352,29.867042000,1.5002,No objects fetched
27.60.129.157,184.50.106.239,3658,29.867928000,3.8927,No objects fetched
27.60.129.157,184.50.106.239,288,30.089078000,3.6702,No objects fetched
