27.60.129.157,31.13.79.23,2259,0.000000000,0.7639,No objects fetched
27.60.129.157,31.13.79.23,11055,0.025506000,178.4385,No objects fetched
27.60.129.157,31.13.79.23,828,0.067258000,120.0437,No objects fetched
27.60.129.157,31.13.79.23,2017,0.160876000,0.1659,No objects fetched
27.60.129.157,31.13.79.23,8532,4.836526000,2.1282,No objects fetched
27.60.129.157,184.73.220.98,492,4.850456000,2.9032,No objects fetched
27.60.129.157,184.73.220.98,1558,5.083336000,1.7137,No objects fetched
27.60.129.157,50.22.231.38,2639,5.161496000,605.5282,No objects fetched
27.60.129.157,96.17.182.67,27865,6.286692000,3.4493,No objects fetched
27.60.129.157,223.165.25.44,2482,7.443379000,14.5587,No objects fetched
27.60.129.157,223.165.25.37,2367,7.464201000,14.5378,No objects fetched
27.60.129.157,122.248.228.209,2832,7.464932000,14.5372,No objects fetched
27.60.129.157,96.17.182.41,1901,7.472249000,14.5296,No objects fetched
27.60.129.157,96.17.182.67,14687,7.483438000,14.5186,No objects fetched
27.60.129.157,63.116.58.149,2643,20.710013000,21.7071,No objects fetched
27.60.129.157,202.79.210.121,1918,22.002849000,1.8699,No objects fetched
27.60.129.157,202.79.210.121,4199,23.468577000,8.2213,No objects fetched
27.60.129.157,74.125.236.24,31288,28.224406000,732.0930,No objects fetched
27.60.129.157,170.149.173.130,1897,33.504417000,4.3681,No objects fetched
27.60.129.157,170.149.172.130,1990,35.586661000,1.9528,No objects fetched
27.60.129.157,170.149.172.130,360,35.655029000,3.9608,No objects fetched
27.60.129.157,74.125.236.24,22917,37.422846000,722.9388,No objects fetched
27.60.129.157,50.19.109.75,81175,37.822057000,10.9018,No objects fetched
27.60.129.157,50.19.109.75,13116,39.213603000,9.5070,No objects fetched
27.60.129.157,50.19.109.75,69763,39.229057000,9.4934,No objects fetched
27.60.129.157,50.19.109.75,7027,39.231640000,9.4871,No objects fetched
27.60.129.157,50.19.109.75,7115,39.232136000,9.4895,No objects fetched
27.60.129.157,50.19.109.75,13708,39.232586000,9.4907,No objects fetched
27.60.129.157,50.19.109.75,14415,39.234160000,9.4855,No objects fetched
27.60.129.157,170.149.172.130,1953,41.391830000,1.6648,No objects fetched
27.60.129.157,170.149.172.130,360,41.642660000,3.4473,No objects fetched
27.60.129.157,96.17.182.58,3762,41.657530000,3.7128,No objects fetched
27.60.129.157,23.21.72.16,1962,41.658165000,4.0079,No objects fetched
27.60.129.157,74.125.236.26,34039,42.128224000,6.3076,No objects fetched
27.60.129.157,54.243.133.135,1569,42.422331000,3.5762,No objects fetched
27.60.129.157,74.125.236.25,4728,43.638545000,4.7534,No objects fetched
27.60.129.157,74.125.236.25,424,43.735509000,4.6350,No objects fetched
27.60.129.157,74.125.236.25,4582,44.863086000,3.5585,No objects fetched
27.60.129.157,74.125.236.25,492,44.991772000,3.4098,No objects fetched
27.60.129.157,212.58.241.131,1849,87.155008000,0.9888,No objects fetched
27.60.129.157,212.58.246.91,1408,87.937374000,4.4106,No objects fetched
27.60.129.157,212.58.246.91,424,88.115222000,3.1033,No objects fetched
27.60.129.157,212.58.246.90,23002,88.721736000,6.2498,No objects fetched
27.60.129.157,212.58.246.90,12245,88.870873000,6.0867,No objects fetched
27.60.129.157,212.58.246.90,3278,89.776007000,5.1898,No objects fetched
27.60.129.157,212.58.246.90,1843,89.776849000,5.1806,No objects fetched
27.60.129.157,96.17.182.41,4812,89.962929000,2.7911,No objects fetched
27.60.129.157,96.17.182.41,4637,89.963795000,2.7978,No objects fetched
27.60.129.157,96.17.182.41,5050,89.964097000,2.8298,No objects fetched
27.60.129.157,96.17.182.41,424,90.025976000,2.6190,No objects fetched
27.60.129.157,212.58.246.90,4376,90.342345000,7.8403,No objects fetched
27.60.129.157,212.58.246.90,424,90.344418000,4.6127,No objects fetched
27.60.129.157,212.58.246.90,424,90.345439000,4.6119,No objects fetched
27.60.129.157,66.235.139.153,3948,90.627819000,7.5546,No objects fetched
27.60.129.157,77.72.118.168,2104,90.642614000,1.5811,No objects fetched
27.60.129.157,31.13.79.23,299,119.286339000,0.0396,No objects fetched
27.60.129.157,80.168.92.140,1693,120.617810000,2.9816,No objects fetched
27.60.129.157,80.168.92.140,652,120.805489000,24.8464,No objects fetched
27.60.129.157,96.17.182.42,2046,121.253653000,5.2637,No objects fetched
27.60.129.157,184.72.243.188,18413,123.712930000,8.4301,No objects fetched
27.60.129.157,184.72.243.188,599,123.893309000,3.7355,No objects fetched
27.60.129.157,54.240.166.122,54199,125.131454000,6.9475,No objects fetched
27.60.129.157,54.240.166.122,3871,125.131736000,4.9794,No objects fetched
27.60.129.157,54.240.166.122,9416,125.131948000,4.9833,No objects fetched
27.60.129.157,54.240.166.122,5982,125.132144000,4.9767,No objects fetched
27.60.129.157,54.240.166.122,7021,125.132336000,4.9851,No objects fetched
27.60.129.157,54.240.166.122,4234,125.132724000,4.9773,No objects fetched
27.60.129.157,54.240.166.122,4895,125.132923000,6.9526,No objects fetched
27.60.129.157,54.240.166.122,18112,125.133134000,6.9513,No objects fetched
27.60.129.157,23.21.52.169,2000,125.157369000,5.0231,No objects fetched
27.60.129.157,23.21.52.169,2002,125.157718000,5.0195,No objects fetched
27.60.129.157,54.240.172.209,5480,125.164103000,4.9408,No objects fetched
27.60.129.157,54.240.172.209,6061,125.164464000,4.9415,No objects fetched
27.60.129.157,54.240.166.122,9951,125.311297000,6.7709,No objects fetched
