27.60.129.157,74.125.236.24,15630,0.000000000,58.3741,No objects fetched
27.60.129.157,74.125.236.22,1678,2.800765000,2.5695,No objects fetched
27.60.129.157,74.125.236.22,2819,3.230937000,4.0737,No objects fetched
27.60.129.157,74.125.135.84,8255,3.858406000,20.8830,No objects fetched
27.60.129.157,74.125.236.22,43153,4.732891000,20.0085,No objects fetched
27.60.129.157,74.125.236.16,7516,9.398921000,0.6536,No objects fetched
27.60.129.157,74.125.236.16,6096,10.894118000,13.8376,No objects fetched
27.60.129.157,74.125.236.16,424,11.144944000,2.2807,No objects fetched
27.60.129.157,31.13.79.23,474,20.899144000,0.4316,No objects fetched
27.60.129.157,107.20.164.39,1469,35.074136000,3.5758,No objects fetched
27.60.129.157,66.6.36.15,1221,57.574227000,1.2956,No objects fetched
27.60.129.157,74.125.236.24,1308,58.013173000,0.4401,No objects fetched
27.60.129.157,66.6.36.9,1605,58.594480000,1.3916,No objects fetched
27.60.129.157,66.6.36.9,599,58.750794000,2.7621,No objects fetched
27.60.129.157,66.6.36.9,9885,59.613380000,2.9302,No objects fetched
27.60.129.157,66.6.36.9,424,59.867029000,2.8768,No objects fetched
27.60.129.157,68.232.44.63,59148,62.437784000,8.5285,No objects fetched
27.60.129.157,68.232.44.63,35128,62.447139000,7.5880,No objects fetched
27.60.129.157,68.232.44.63,52170,62.448442000,8.5160,No objects fetched
27.60.129.157,96.17.182.42,2441,62.465166000,0.6170,No objects fetched
27.60.129.157,68.232.44.63,26294,62.554916000,5.6490,No objects fetched
27.60.129.157,68.232.44.63,7349,62.560400000,8.3531,No objects fetched
27.60.129.157,74.125.236.30,580,63.772753000,4.4306,No objects fetched
27.60.129.157,74.125.236.30,24535,63.908076000,10.2642,No objects fetched
27.60.129.157,96.17.182.42,6128,66.443510000,5.5089,No objects fetched
27.60.129.157,96.17.182.42,580,66.695731000,3.5971,No objects fetched
27.60.129.157,203.190.124.23,6068,69.102791000,1.9590,No objects fetched
27.60.129.157,203.190.124.23,364,69.161501000,3.5221,No objects fetched
27.60.129.157,68.232.44.63,8209,70.802430000,3.3199,No objects fetched
27.60.129.157,74.125.128.95,4099,127.277398000,0.9473,No objects fetched
