223.184.29.250,96.17.182.65,478606,12.082950000,
223.184.29.250,122.160.120.56,27135,0.242084000,
223.184.29.250,23.35.36.211,69053,12.593240000,
223.184.29.250,63.245.217.112,50143,56.210337000,
223.184.29.250,118.215.159.139,66232,38.196942000,
223.184.29.250,23.0.147.206,45951,43.494223000,
223.184.29.250,173.194.36.109,45064,35.828234000,
223.184.29.250,96.17.182.32,35886,59.459070000,
223.184.29.250,96.17.182.40,34213,18.662946000,
223.184.29.250,68.232.44.139,31443,38.197197000,
223.184.29.250,96.17.182.57,15361,56.050044000,
223.184.29.250,199.7.57.72,9611,53.360265000,
223.184.29.250,122.252.138.110,18284,42.508490000,
223.184.29.250,223.165.25.20,9973,13.128698000,
223.184.29.250,31.13.79.1,13796,38.197389000,
223.184.29.250,223.165.26.45,5398,39.237275000,
223.184.29.250,98.124.156.54,6632,13.536963000,
223.184.29.250,174.129.243.85,4757,39.228398000,
223.184.29.250,223.165.31.12,11163,34.406779000,
223.184.29.250,117.18.237.16,17694,6.907542000,
223.184.29.250,202.56.230.7,8482,6.072532000,
223.184.29.250,96.17.182.42,12591,49.447736000,
223.184.29.250,96.17.182.43,8754,13.132427000,
223.184.29.250,23.35.33.224,2739,56.050549000,
223.184.29.250,54.243.145.253,1696,39.717000000,
223.184.29.250,74.125.236.143,4758,18.653758000,
223.184.29.250,173.194.36.84,5819,3.052382000,
223.184.29.250,31.13.79.17,4100,42.509715000,
223.184.29.250,50.19.254.195,3263,30.689685000,
223.184.29.250,50.22.231.50,1858,74.775942000,
223.184.29.250,173.194.36.77,5239,30.703504000,
223.184.29.250,199.7.55.72,3767,62.534721000,
223.184.29.250,96.17.182.17,5328,38.177075000,
223.184.29.250,96.17.182.41,3937,29.417529000,
223.184.29.250,173.194.36.124,3096,31.109848000,
223.184.29.250,96.17.182.73,3264,29.397496000,
223.184.29.250,223.165.31.15,1571,29.397383000,
223.184.29.250,173.194.36.95,1734,19.541529000,
223.184.29.250,173.194.36.89,1400,29.417191000,
223.184.29.250,173.194.36.97,3833,13.093324000,
223.184.29.250,199.7.54.72,720,59.525470000,
223.184.29.250,50.17.220.165,848,30.973526000,
223.184.29.250,96.17.182.9,3957,41.595204000,
223.184.29.250,50.16.218.1,1720,0.264726000,
223.184.29.250,23.35.34.127,1374,38.221032000,
223.184.29.250,23.23.212.172,1322,0.246579000,
223.184.29.250,223.165.30.27,580,61.967200000,
223.184.29.250,65.54.82.159,560,39.737038000,
223.184.29.250,65.54.82.147,560,39.228097000,
223.184.29.250,199.59.149.230,492,59.539955000,
223.184.29.250,74.125.236.13,991,29.919150000,
223.184.29.250,74.125.135.95,424,29.407436000,
223.184.29.250,199.59.148.82,424,59.280234000,
223.184.29.250,173.194.36.121,424,36.997072000,
223.184.29.250,63.245.217.44,408,19.798677000,
223.184.29.250,63.245.217.37,408,19.798444000,
223.184.29.250,74.125.128.188,324,48.560697000,
223.184.29.250,184.73.197.27,112,0.000000000,
