110.225.91.4,173.194.36.92,2937,35.355214000,0.9670,2 objects with urls like: http://ad.doubleclick.net/N7176/adj/IPL2013_MKT/IP...
110.225.91.4,223.165.31.12,3375,35.992776000,3.0399,2 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getad?...
110.225.91.4,96.17.182.65,18469,36.229487000,3.9626,1 objects with urls like: http://adscontent3.indiatimes.com/photo/19595241.c...
110.225.91.4,96.17.182.43,424,38.035533000,5.1972,0 objects
110.225.91.4,223.165.25.20,1195,38.752509000,0.5315,1 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/genpty...
110.225.91.4,223.165.25.20,416,38.754090000,5.5166,0 objects
110.225.91.4,96.17.182.65,424,38.754504000,5.4703,0 objects
110.225.91.4,96.17.182.65,20382,38.786729000,19.3263,6 objects with urls like: http://timesofindia.indiatimes.com/tmoney.cms?msid...
110.225.91.4,223.165.31.12,416,38.787261000,5.4833,0 objects
110.225.91.4,96.17.182.65,424,38.787729000,5.4369,0 objects
110.225.91.4,223.165.25.20,416,38.846176000,5.4317,0 objects
110.225.91.4,96.17.182.65,424,38.972011000,5.2515,0 objects
110.225.91.4,96.17.182.65,424,39.005650000,5.2187,0 objects
110.225.91.4,96.17.182.65,424,39.007524000,5.2177,0 objects
110.225.91.4,223.165.25.20,416,39.043306000,6.1910,0 objects
110.225.91.4,223.165.25.20,416,39.043711000,6.1691,0 objects
110.225.91.4,223.165.25.20,416,39.058056000,6.1542,0 objects
110.225.91.4,223.165.31.12,416,39.082597000,6.1334,0 objects
110.225.91.4,96.17.182.65,424,39.290173000,5.8682,0 objects
110.225.91.4,173.194.36.77,1019,39.542828000,0.6219,1 objects with urls like: http://pagead2.googlesyndication.com/pagead/show_a...
110.225.91.4,173.194.36.77,1016,39.943108000,1.7394,1 objects with urls like: http://pagead2.googlesyndication.com/pagead/osd.js...
110.225.91.4,173.194.36.77,424,39.994486000,6.5858,0 objects
110.225.91.4,173.194.36.77,1880,41.259877000,0.4624,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
110.225.91.4,173.194.36.77,1872,41.404414000,0.4379,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
110.225.91.4,173.194.36.77,1883,41.411174000,0.4611,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
110.225.91.4,173.194.36.77,424,41.607591000,5.7073,0 objects
110.225.91.4,173.194.36.77,424,41.632847000,5.6500,0 objects
110.225.91.4,173.194.36.77,424,41.633117000,5.6419,0 objects
110.225.91.4,223.165.25.205,1196,43.113479000,0.2289,1 objects with urls like: http://geodataservice205.indiatimes.com/getGeo.asp...
110.225.91.4,223.165.25.205,416,43.113988000,6.2807,0 objects
110.225.91.4,23.35.34.127,1374,44.092909000,0.4605,1 objects with urls like: http://static.chartbeat.com/js/chartbeat.js	44.310...
110.225.91.4,96.17.182.17,3653,44.096354000,0.4370,1 objects with urls like: http://www.speakingtree.in/cache/toi?feed=article&...
