110.225.91.4,96.17.182.65,370750,11.381050000,
122.160.120.56,110.225.91.4,25482,0.496067000,
110.225.91.4,96.17.182.27,100536,58.004143000,
110.225.91.4,96.17.182.32,5936,63.373218000,
173.194.36.77,110.225.91.4,14995,28.506886000,
223.165.25.20,110.225.91.4,11474,16.669908000,
223.165.31.12,110.225.91.4,10130,28.496795000,
110.225.91.4,98.124.156.54,12608,16.819955000,
110.225.91.4,50.16.236.36,7286,44.841312000,
110.225.91.4,96.17.182.66,6209,28.502147000,
110.225.91.4,96.17.182.73,6345,47.497755000,
184.29.227.206,110.225.91.4,2588,46.660307000,
110.225.91.4,31.13.79.1,7777,44.102566000,
173.194.36.78,110.225.91.4,5764,16.664487000,
110.225.91.4,23.35.33.224,2943,47.531639000,
110.225.91.4,54.243.46.157,1984,45.095147000,
202.56.230.7,110.225.91.4,6124,33.166076000,
110.225.91.4,96.17.182.57,4889,34.103568000,
184.50.127.139,110.225.91.4,2056,49.025108000,
110.225.91.4,96.17.182.43,1412,16.678032000,
110.225.91.4,96.17.182.41,3586,28.205267000,
173.194.36.79,110.225.91.4,4558,16.499132000,
110.225.91.4,96.17.182.58,1272,28.504996000,
110.225.91.4,96.17.182.17,4077,44.096354000,
223.165.31.15,110.225.91.4,1571,28.489397000,
173.194.36.57,110.225.91.4,1415,34.174435000,
173.194.36.90,110.225.91.4,1401,28.206893000,
223.165.26.45,110.225.91.4,2948,44.861093000,
223.165.25.205,110.225.91.4,1612,43.113479000,
173.194.36.92,110.225.91.4,2937,35.355214000,
110.225.91.4,107.21.253.152,1339,0.555880000,
110.225.91.4,68.232.44.139,1326,44.104282000,
110.225.91.4,23.35.34.127,1374,44.092909000,
223.165.30.27,110.225.91.4,648,49.196423000,
110.225.91.4,107.20.164.39,1505,0.000000000,
223.165.30.26,110.225.91.4,580,109.908192000,
110.225.91.4,65.54.82.166,560,44.843295000,
110.225.91.4,96.17.182.40,830,17.578402000,
110.225.91.4,74.125.135.95,368,28.500712000,
110.225.91.4,31.13.79.17,299,98.914375000,
110.225.91.4,74.125.128.188,275,90.194788000,
