name,first_dns_addr,first_get_addr,dns_lookup_time,tcp_handshake_time,redirection_time,peak_bandwidth,rtt_mean,rtt_std_deviation
m-toi,timesofindia.com,http://m.timesofindia.com/,0.2708269999999997,0.15934899999999885,12.454631,97.558,0.9799997301136361,3.074066462252796
toi,,,0.06832800000000816,0.18854399999999316,4.426536999999996,184.808,0.35587721529919797,1.3240687770341404
m-nytimes,www.nytimes.com,http://mobile.nytimes.com/,2.205445999999995,0.5294820000000016,7.59462400000001,91.14,0.6871756694915259,1.8562920453428835
nytimes,www.nytimes.com,http://www.nytimes.com/,2.205445999999995,0.3628439999999955,0.00291400000000408,239.796,2.3752923918918927,7.1977311219562425
m-cricinfo,www.cricinfo.com,http://m.espncricinfo.com/,0.1262890000000425,0.43346199999996315,6.899461999999971,318.988,0.2927741089361701,0.7068763173303558
cricinfo,www.cricinfo.com,http://www.espncricinfo.com/,0.0,0.0,0.0,0.0,0.0,0.0
