13,223.188.105.168,96.17.181.48,8847,4.099025000,8.5955,2,"'http://timesofindia.indiatimes.com/configspace/ads/toigoogleads.html'::5.762035000, 'http://timesofindia.indiatimes.com/photo/11964050.cms'::8.226244000"
14,223.188.105.168,96.17.181.48,22058,4.099806000,15.0924,2,"'http://timesofindia.indiatimes.com/photo/9719649.cms'::5.781972000, 'http://timesofindia.indiatimes.com/tpoint_js_v12.cms?version=6'::9.034384000"
15,223.188.105.168,96.17.181.48,11206,4.268271000,14.8963,2,"'http://timesofindia.indiatimes.com/photo/9783775.cms'::6.120643000, 'http://timesofindia.indiatimes.com/photo.cms?msid=9649288'::8.497664000"
16,223.188.105.168,96.17.181.48,11466,4.308828000,14.8633,2,"'http://timesofindia.indiatimes.com/photo/5539187.cms'::6.198547000, 'http://timesofindia.indiatimes.com/photo/16627036.cms'::8.545844000"
17,223.188.105.168,96.17.181.48,10494,4.315418000,8.3890,2,"'http://timesofindia.indiatimes.com/photo/4748680.cms'::6.260827000, 'http://timesofindia.indiatimes.com/photo/4467783.cms'::8.655700000"
18,223.188.105.168,223.165.25.205,1607,6.028606000,6.6658,1,'http://geodataservice205.indiatimes.com/getGeo.aspx?rettype=json&detail=completedetail&callback=weatherinfo&key=net$pider@til'::8.428192000
19,223.188.105.168,23.23.187.175,62494,6.054813000,13.5890,0,
20,223.188.105.168,96.17.181.67,6120,6.165263000,16.5148,3,"'http://economictimes.indiatimes.com/etbudgetwidget.cms'::8.480510000, 'http://economictimes.indiatimes.com/photo/18593850.cms'::10.203047000, 'http://economictimes.indiatimes.com/photo/18593850.cms'::17.076727000"
21,223.188.105.168,96.17.181.67,4855,10.205215000,9.3789,1,'http://economictimes.indiatimes.com/photo/18498984.cms'::13.327326000
22,223.188.105.168,96.17.181.67,9176,10.206619000,9.6234,2,"'http://economictimes.indiatimes.com/thumb/msid-18727454,width-81,height-63,resizemode-4,insurance-cos-allowed-to-open-branches-at-will/.jpg'::13.336480000, 'http://economictimes.indiatimes.com/thumb/msid-18727454,width-81,height-63,resizemode-4,insurance-cos-allowed-to-open-branches-at-will/.jpg'::13.676774000"
23,223.188.105.168,96.17.181.67,9593,10.209557000,9.5505,1,"'http://economictimes.indiatimes.com/thumb/msid-18728277,width-81,height-63,resizemode-4,12-important-things-for-the-middle-class/.jpg'::13.335779000"
24,223.188.105.168,96.17.181.67,42531,10.210076000,12.9681,1,'http://economictimes.indiatimes.com/photo/18593898.cms'::13.335467000
25,223.188.105.168,96.17.181.67,8430,10.211422000,9.5886,2,"'http://economictimes.indiatimes.com/photo/18499138.cms'::13.336203000, 'http://economictimes.indiatimes.com/photo/18499138.cms'::13.676724000"
26,223.188.105.168,96.17.181.67,10426,10.212531000,9.3873,2,"'http://economictimes.indiatimes.com/photo/18499086.cms'::13.336989000, 'http://economictimes.indiatimes.com/photo/18499086.cms'::13.681710000"
27,223.188.105.168,96.17.181.67,9050,10.212962000,9.3950,2,"'http://economictimes.indiatimes.com/thumb/msid-18728660,width-81,height-63,resizemode-4,top-13-consumer-goods-that-will-be-cheaper-or-expensive/.jpg'::13.337464000, 'http://economictimes.indiatimes.com/thumb/msid-18728660,width-81,height-63,resizemode-4,top-13-consumer-goods-that-will-be-cheaper-or-expensive/.jpg'::13.681759000"
28,223.188.105.168,96.17.181.67,5952,10.213523000,9.4323,2,"'http://economictimes.indiatimes.com/photo/18573355.cms'::13.358963000, 'http://economictimes.indiatimes.com/photo/18573355.cms'::13.776712000"
29,223.188.105.168,96.17.181.67,39849,10.214785000,12.9753,2,"'http://economictimes.indiatimes.com/photo/18594126.cms'::13.398355000, 'http://economictimes.indiatimes.com/photo/18594126.cms'::13.936721000"
