223.188.105.168,96.17.181.48,52749,0.255552000,11.4588,4 objects with urls like: http://timesofindia.indiatimes.com/	0.405785000...
223.188.105.168,96.17.181.48,27422,1.017934000,11.6866,6 objects with urls like: http://timesofindia.indiatimes.com/default_b2_styl...
223.188.105.168,96.17.181.48,20851,1.019364000,11.8306,6 objects with urls like: http://timesofindia.indiatimes.com/default_b2_glbl...
223.188.105.168,96.17.181.48,15284,1.028946000,18.1792,6 objects with urls like: http://timesofindia.indiatimes.com/before_body_js....
223.188.105.168,96.17.181.48,56291,1.032365000,18.2077,6 objects with urls like: http://timesofindia.indiatimes.com/double_google_a...
223.188.105.168,96.17.181.48,25806,1.032982000,21.6572,8 objects with urls like: http://timesofindia.indiatimes.com/double_google_a...
223.188.105.168,96.17.181.48,46393,4.089675000,15.1625,4 objects with urls like: http://timesofindia.indiatimes.com/photo/18723195....
223.188.105.168,96.17.181.48,11508,4.091356000,15.1709,4 objects with urls like: http://timesofindia.indiatimes.com/photo/18723203....
223.188.105.168,96.17.181.48,4352,4.093165000,15.1291,3 objects with urls like: http://timesofindia.indiatimes.com/photo/4580293.c...
223.188.105.168,96.17.181.48,17796,4.094250000,15.1938,5 objects with urls like: http://timesofindia.indiatimes.com/photo/11350517....
223.188.105.168,96.17.181.48,14605,4.095460000,8.6092,2 objects with urls like: http://timesofindia.indiatimes.com/photo/17489305....
223.188.105.168,96.17.181.48,8930,4.096316000,17.0882,4 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
223.188.105.168,96.17.181.48,9534,4.096906000,8.5974,2 objects with urls like: http://timesofindia.indiatimes.com/niftysensexhome...
223.188.105.168,96.17.181.48,8847,4.099025000,8.5955,2 objects with urls like: http://timesofindia.indiatimes.com/configspace/ads...
223.188.105.168,96.17.181.48,22058,4.099806000,15.0924,2 objects with urls like: http://timesofindia.indiatimes.com/photo/9719649.c...
223.188.105.168,96.17.181.48,11206,4.268271000,14.8963,2 objects with urls like: http://timesofindia.indiatimes.com/photo/9783775.c...
223.188.105.168,96.17.181.48,11466,4.308828000,14.8633,2 objects with urls like: http://timesofindia.indiatimes.com/photo/5539187.c...
223.188.105.168,96.17.181.48,10494,4.315418000,8.3890,2 objects with urls like: http://timesofindia.indiatimes.com/photo/4748680.c...
223.188.105.168,223.165.25.205,1607,6.028606000,6.6658,1 objects with urls like: http://geodataservice205.indiatimes.com/getGeo.asp...
223.188.105.168,23.23.187.175,62494,6.054813000,13.5890,0 objects
223.188.105.168,96.17.181.67,6120,6.165263000,16.5148,3 objects with urls like: http://economictimes.indiatimes.com/etbudgetwidget...
223.188.105.168,96.17.181.67,4855,10.205215000,9.3789,1 objects with urls like: http://economictimes.indiatimes.com/photo/18498984...
223.188.105.168,96.17.181.67,9176,10.206619000,9.6234,2 objects with urls like: http://economictimes.indiatimes.com/thumb/msid-187...
223.188.105.168,96.17.181.67,9593,10.209557000,9.5505,1 objects with urls like: http://economictimes.indiatimes.com/thumb/msid-187...
223.188.105.168,96.17.181.67,42531,10.210076000,12.9681,1 objects with urls like: http://economictimes.indiatimes.com/photo/18593898...
223.188.105.168,96.17.181.67,8430,10.211422000,9.5886,2 objects with urls like: http://economictimes.indiatimes.com/photo/18499138...
223.188.105.168,96.17.181.67,10426,10.212531000,9.3873,2 objects with urls like: http://economictimes.indiatimes.com/photo/18499086...
223.188.105.168,96.17.181.67,9050,10.212962000,9.3950,2 objects with urls like: http://economictimes.indiatimes.com/thumb/msid-187...
223.188.105.168,96.17.181.67,5952,10.213523000,9.4323,2 objects with urls like: http://economictimes.indiatimes.com/photo/18573355...
223.188.105.168,96.17.181.67,39849,10.214785000,12.9753,2 objects with urls like: http://economictimes.indiatimes.com/photo/18594126...
223.188.105.168,96.17.181.67,32925,10.215181000,12.5075,2 objects with urls like: http://economictimes.indiatimes.com/photo/18594323...
223.188.105.168,23.23.187.175,39081,12.653743000,11.4603,0 objects
223.188.105.168,23.23.187.175,10930,12.654529000,7.2199,0 objects
223.188.105.168,23.23.187.175,6046,12.655372000,7.1888,0 objects
223.188.105.168,96.17.181.59,2796,12.835890000,7.0786,1 objects with urls like: http://www.indiatimes.com/static_pages/indiatimes....
223.188.105.168,96.17.181.59,1060,12.870134000,7.0443,0 objects
223.188.105.168,96.17.181.48,9894,13.132692000,6.4016,1 objects with urls like: http://media.indiatimes.in/media/photogallery/2013...
223.188.105.168,23.23.187.175,29690,19.772608000,7.7204,0 objects
223.188.105.168,23.23.187.175,6813,19.774592000,7.7183,0 objects
223.188.105.168,23.23.187.175,5382,19.775049000,4.7391,0 objects
223.188.105.168,190.93.242.190,7097,20.068702000,7.0876,0 objects
223.188.105.168,190.93.242.190,8306,20.068870000,6.9355,0 objects
223.188.105.168,74.125.236.62,23179,20.368311000,13.5202,0 objects
223.188.105.168,96.17.181.48,3821,22.593489000,3.1045,1 objects with urls like: http://timesofindia.indiatimes.com/icons/toifavico...
223.188.105.168,54.240.168.50,14248,22.696836000,6.8974,0 objects
223.188.105.168,204.93.223.146,7697,24.225655000,6.4023,0 objects
